question,answer
Was ist der innergemeinschaftliche Erwerb nach Art. 1 UStG-Anhang?,"Ein innergemeinschaftlicher Erwerb liegt vor, wenn ein Gegenstand aus einem anderen EU-Mitgliedstaat in das Inland gelangt (Art. 1 Abs. 1 UStG-Anhang). Der Erwerb unterliegt der Umsatzsteuer im Bestimmungsland."
Wer schuldet die Umsatzsteuer beim Dreiecksgeschäft?,"Bei einem innergemeinschaftlichen Dreiecksgeschäft schuldet der letzte Abnehmer die Umsatzsteuer (Art. 25 Abs. 5 UStG-Anhang). Dies vereinfacht die Abwicklung, da der mittlere Unternehmer sich nicht im Bestimmungsland registrieren muss."
Was versteht man unter Ist-Besteuerung nach § 17 UStG?,"Bei der Ist-Besteuerung entsteht die Steuerschuld erst mit der Vereinnahmung des Entgelts, nicht mit der Leistungserbringung (§ 17 Abs. 1 UStG). Die Ist-Besteuerung können Unternehmer beantragen, deren Gesamtumsatz 2 Millionen Euro nicht übersteigt."
Was regelt § 23 UStG zur Besteuerung von Reiseleistungen?,"Reiseleistungen unterliegen einer Sonderregelung, bei der die Bemessungsgrundlage die Differenz zwischen dem Reisepreis und den Vorleistungen bildet (§ 23 Abs. 1 UStG). Ein Vorsteuerabzug für die Reisevorleistungen ist ausgeschlossen."
Wie wird die Einfuhrumsatzsteuer nach § 26 UStG erhoben?,"Die Einfuhrumsatzsteuer wird für die Einfuhr von Gegenständen aus dem Drittland erhoben (§ 26 Abs. 1 UStG). Es gelten grundsätzlich die Vorschriften für Zölle. Die Einfuhrumsatzsteuer kann als Vorsteuer abgezogen werden."
Was regelt § 27 UStG über Sicherungsmaßnahmen?,"§ 27 UStG ermächtigt die Finanzbehörde zu besonderen Aufsichtsmaßnahmen zur Sicherung des Steueranspruches. Dies umfasst die Möglichkeit der Sicherheitsleistung und der Haftung Dritter bei Verdacht auf Steuergefährdung."
Welche Voraussetzungen hat die internationale Schachtelbeteiligung nach § 10 Abs. 2 KStG?,"Eine internationale Schachtelbeteiligung erfordert eine Beteiligung von mindestens 10 % am Kapital einer ausländischen Körperschaft über einen ununterbrochenen Zeitraum von mindestens einem Jahr (§ 10 Abs. 2 KStG). Die Beteiligungserträge und Veräußerungsgewinne sind grundsätzlich steuerbefreit."
Wie wird die Mindestkörperschaftsteuer nach § 24 Abs. 4 KStG berechnet?,"Die Mindestkörperschaftsteuer beträgt für GmbHs 5 % des gesetzlichen Mindeststammkapitals von 35.000 Euro, somit 1.750 Euro pro Jahr (§ 24 Abs. 4 KStG). Sie ist unabhängig davon zu entrichten, ob die Körperschaft Gewinne oder Verluste erzielt."
Was regelt § 9 EStG Abs. 3 über Abfertigungsrückstellungen?,"Rückstellungen für Abfertigungsverpflichtungen sind mit 60 % des fiktiven Abfertigungsanspruches zu bilden (§ 9 Abs. 3 EStG). Die Rückstellung ist jährlich an den aktuellen Abfertigungsanspruch anzupassen."
Was versteht man unter dem Zufluss-Abfluss-Prinzip nach § 19 EStG?,"Nach dem Zufluss-Abfluss-Prinzip werden Einnahmen im Zeitpunkt des Zufließens erfasst und Ausgaben im Zeitpunkt des Abfließens (§ 19 EStG). Dieses Prinzip gilt für alle Steuerpflichtigen, die ihren Gewinn nach § 4 Abs. 3 EStG durch Einnahmen-Ausgaben-Rechnung ermitteln."
Was regelt § 30c EStG zur Selbstberechnung der Immobilienertragsteuer?,"Die Immobilienertragsteuer kann durch Parteienvertreter selbst berechnet und an das Finanzamt abgeführt werden (§ 30c EStG). Der Parteienvertreter haftet für die richtige Berechnung und fristgerechte Abfuhr der Steuer."
Was ist die Pendlerpauschale nach § 16 Abs. 1 Z 6 EStG?,"Die Pendlerpauschale steht Arbeitnehmern zu, deren Arbeitsweg eine bestimmte Entfernung überschreitet (§ 16 Abs. 1 Z 6 EStG). Bei einer Entfernung von mehr als 20 km und Unzumutbarkeit öffentlicher Verkehrsmittel beträgt sie zwischen 372 und 3.672 Euro jährlich."
Was versteht man unter der Einnahmen-Ausgaben-Rechnung nach § 4 Abs. 3 EStG?,"Bei der Einnahmen-Ausgaben-Rechnung wird der Gewinn als Überschuss der Betriebseinnahmen über die Betriebsausgaben ermittelt (§ 4 Abs. 3 EStG). Diese vereinfachte Methode steht Steuerpflichtigen zu, die nicht zur Buchführung verpflichtet sind."
Welche Einkünfte fallen unter Land- und Forstwirtschaft nach § 21 EStG?,"Einkünfte aus Land- und Forstwirtschaft umfassen Einkünfte aus dem Betrieb von Landwirtschaft, Forstwirtschaft, Weinbau, Gartenbau und Fischerei (§ 21 Abs. 1 EStG). Auch Einkünfte aus Jagd und Binnenfischerei auf eigenem Grund zählen dazu."
Unter welchen Voraussetzungen steht der Alleinverdienerabsetzbetrag gemäß § 33 Abs. 4 EStG zu?,"Der Alleinverdienerabsetzbetrag steht Steuerpflichtigen zu, die mehr als sechs Monate im Kalenderjahr verheiratet sind und deren Ehepartner Einkünfte von höchstens 6.312 Euro jährlich erzielt (§ 33 Abs. 4 Z 1 EStG). Er beträgt 520 Euro jährlich."
Was regelt § 6 Abs. 1 Z 6 UStG über Grundstücksumsätze?,"Grundstücksumsätze sind grundsätzlich von der Umsatzsteuer befreit (§ 6 Abs. 1 Z 9 lit. a UStG). Der Unternehmer kann jedoch auf die Befreiung verzichten und zur Steuerpflicht optieren, wenn die Leistung an einen anderen Unternehmer erbracht wird (§ 6 Abs. 2 UStG)."
Was ist die Organschaft nach § 2 Abs. 2 UStG?,"Eine Organschaft liegt vor, wenn eine juristische Person finanziell, wirtschaftlich und organisatorisch in ein Unternehmen eingegliedert ist (§ 2 Abs. 2 Z 2 UStG). Die Organgesellschaft gilt nicht als eigenständiger Unternehmer; ihre Umsätze werden dem Organträger zugerechnet."
Wie werden innergemeinschaftliche Lieferungen nach Art. 7 UStG-Anhang behandelt?,"Innergemeinschaftliche Lieferungen sind im Ursprungsland steuerfrei, wenn der Gegenstand in einen anderen EU-Mitgliedstaat gelangt und der Abnehmer dort der Erwerbsbesteuerung unterliegt (Art. 7 Abs. 1 UStG-Anhang). Der Lieferant muss die UID-Nummer des Abnehmers nachweisen."
Was regelt § 20 KStG über Umgründungen?,"Bei Verschmelzungen, Umwandlungen und vergleichbaren Umgründungen gelten die Bestimmungen des Umgründungssteuergesetzes (§ 20 KStG). Die steuerlichen Auswirkungen hängen von der Art der Umgründung und der Erfüllung bestimmter Voraussetzungen ab."
Was versteht man unter beschränkter Steuerpflicht bei natürlichen Personen nach § 1 Abs. 3 EStG?,"Beschränkt steuerpflichtig sind natürliche Personen, die im Inland weder einen Wohnsitz noch ihren gewöhnlichen Aufenthalt haben (§ 1 Abs. 3 EStG). Sie werden nur mit ihren inländischen Einkünften besteuert."
Wie werden Einkünfte aus selbständiger Arbeit nach § 22 EStG besteuert?,"Einkünfte aus selbständiger Arbeit unterliegen der progressiven Einkommensteuer nach § 33 EStG. Der Gewinn wird durch Betriebsvermögensvergleich oder Einnahmen-Ausgaben-Rechnung ermittelt. Freiberufler müssen keine Gewerbesteuer entrichten."
Was regelt § 5 EStG über rechnungslegungspflichtige Gewerbetreibende?,"Bei rechnungslegungspflichtigen Gewerbetreibenden ist der Gewinn nach den unternehmensrechtlichen Grundsätzen ordnungsmäßiger Buchführung zu ermitteln (§ 5 Abs. 1 EStG). Die steuerlichen Vorschriften des § 6 EStG über Bewertung sind ergänzend anzuwenden."
Was sind Betriebseinnahmen im Sinne der Gewinnermittlung?,"Betriebseinnahmen sind alle Zugänge an Geld und geldwerten Gütern, die durch den Betrieb veranlasst sind. Sie umfassen Erlöse aus Lieferungen und Leistungen, Nebenerlöse sowie außerordentliche Erträge. Privateinlagen zählen nicht zu den Betriebseinnahmen."
Was regelt § 8 EStG über Sonderformen der Absetzung für Abnutzung?,"§ 8 EStG regelt besondere Abschreibungsmethoden. Für Gebäude gelten feste AfA-Sätze (§ 8 Abs. 1 EStG). Für bestimmte Wirtschaftsgüter kann eine beschleunigte Abschreibung in Anspruch genommen werden."
Was ist die Pflichtveranlagung nach § 41 EStG?,"Eine Pflichtveranlagung liegt vor, wenn der Steuerpflichtige zur Abgabe einer Steuererklärung verpflichtet ist (§ 41 Abs. 1 EStG). Dies gilt unter anderem, wenn neben lohnsteuerpflichtigen Einkünften andere Einkünfte von mehr als 730 Euro vorliegen."
Was regelt § 46 EStG über Vorauszahlungen?,"Einkommensteuervorauszahlungen sind vierteljährlich zu entrichten (§ 46 EStG). Das Finanzamt setzt die Vorauszahlungen auf Basis der zuletzt veranlagten Steuer fest. Sie können auf Antrag herabgesetzt werden."
Was versteht man unter dem Familienbonus Plus nach § 33 Abs. 3a EStG?,"Der Familienbonus Plus ist ein Steuerabsetzbetrag pro Kind, der die Einkommensteuer direkt vermindert (§ 33 Abs. 3a EStG). Er ersetzt den Kinderfreibetrag und die Absetzbarkeit von Kinderbetreuungskosten."
Wie werden Sachbezüge eines Dienstnehmers steuerlich behandelt?,"Sachbezüge sind geldwerte Vorteile aus dem Dienstverhältnis und gelten als Einnahmen (§ 15 Abs. 2 EStG). Der Wert wird nach der Sachbezugswerteverordnung ermittelt. Typische Sachbezüge sind die private Nutzung eines Firmenfahrzeugs und Dienstwohnungen."
Was ist die Steuererklärungspflicht nach § 42 EStG?,"Steuerpflichtige sind zur Abgabe einer Steuererklärung verpflichtet, wenn ihr Einkommen, das keine lohnsteuerpflichtigen Einkünfte enthält, mehr als 12.816 Euro beträgt (§ 42 Abs. 1 Z 1 EStG). Die Erklärung ist elektronisch über FinanzOnline abzugeben."
Was regelt § 94 EStG über Ausnahmen von der KESt-Pflicht?,"Von der Kapitalertragsteuer befreit sind unter anderem Zinsen aus Guthaben bei Kreditinstituten, wenn der Empfänger ein inländisches Kreditinstitut ist (§ 94 Z 5 EStG), sowie bestimmte Kapitalerträge, die dem Betriebsvermögen eines Unternehmers zuzurechnen sind."
Wie werden Spekulationsgeschäfte nach § 31 EStG besteuert?,"Einkünfte aus Spekulationsgeschäften liegen vor, wenn Wirtschaftsgüter innerhalb bestimmter Fristen nach Anschaffung veräußert werden (§ 31 EStG). Seit der Einführung der Besteuerung von Kapitalvermögen in § 27 EStG hat § 31 nur noch eine Auffangfunktion."
Was regelt § 12 EStG über die Übertragung stiller Reserven?,"Stille Reserven, die bei der Veräußerung eines Wirtschaftsgutes aufgedeckt werden, können auf ein Ersatzwirtschaftsgut übertragen werden (§ 12 EStG). Voraussetzung ist, dass das Ersatzwirtschaftsgut im selben oder im folgenden Wirtschaftsjahr angeschafft wird."
Was versteht man unter Entnahmen im betrieblichen Bereich?,"Entnahmen sind alle nicht betrieblich veranlassten Abgänge von Wirtschaftsgütern aus dem Betriebsvermögen (§ 4 Abs. 1 EStG). Sie sind mit dem Teilwert im Zeitpunkt der Entnahme anzusetzen und erhöhen den Gewinn."
Was ist die Umsatzsteuer-Identifikationsnummer und wofür wird sie benötigt?,"Die UID-Nummer ist eine besondere Steuernummer für innergemeinschaftliche Geschäfte (Art. 28 UStG-Anhang). Sie wird von der Finanzverwaltung vergeben und muss bei innergemeinschaftlichen Lieferungen und Erwerben angegeben werden."
Was regelt § 14 UStG über den Vorsteuerabzug nach Durchschnittssätzen?,"Bestimmte Unternehmer können den Vorsteuerabzug nach Durchschnittssätzen vornehmen (§ 14 UStG). Dies vereinfacht die Berechnung, da nicht jede einzelne Eingangsrechnung berücksichtigt werden muss."
Was ist eine zusammenfassende Meldung nach Art. 21 UStG-Anhang?,"Die zusammenfassende Meldung ist eine Erklärung über innergemeinschaftliche Lieferungen und bestimmte sonstige Leistungen an Unternehmer in anderen EU-Mitgliedstaaten (Art. 21 UStG-Anhang). Sie ist monatlich oder vierteljährlich beim Finanzamt einzureichen."
Welche Voraussetzungen muss ein Vorsteuerabzug nach § 12 UStG erfüllen?,"Für den Vorsteuerabzug muss eine ordnungsgemäße Rechnung nach § 11 UStG vorliegen (§ 12 Abs. 1 Z 1 UStG). Die Leistung muss für das Unternehmen erbracht worden sein und der leistende Unternehmer muss die Steuer gesondert ausweisen."
Was regelt § 24a UStG über die Sonderregelung für Anlagegold?,"Lieferungen von Anlagegold sind grundsätzlich von der Umsatzsteuer befreit (§ 24a Abs. 1 UStG). Als Anlagegold gelten Goldbarren und Goldmünzen mit einem Feingoldgehalt von mindestens 995 Tausendstel. Auf die Befreiung kann unter bestimmten Voraussetzungen verzichtet werden."
Wann kann ein Unternehmer zur Regelbesteuerung nach § 6 Abs. 3 UStG optieren?,"Ein Kleinunternehmer kann gemäß § 6 Abs. 3 UStG auf die Steuerbefreiung verzichten und zur Regelbesteuerung optieren. Die Option bindet den Unternehmer für mindestens fünf Kalenderjahre und ermöglicht den Vorsteuerabzug."
Was versteht man unter dem Übergang der Steuerschuld nach § 19 Abs. 1a UStG?,"Bei bestimmten Bauleistungen geht die Steuerschuld vom leistenden Unternehmer auf den Leistungsempfänger über, wenn dieser selbst Bauleistungen erbringt (§ 19 Abs. 1a UStG). Dies dient der Bekämpfung von Umsatzsteuerbetrug im Bausektor."
Wann liegt ein unentgeltlicher Erwerb im Sinne des § 6 Z 9 lit. a EStG vor?,"Ein unentgeltlicher Erwerb liegt vor, wenn ein Wirtschaftsgut ohne Gegenleistung übertragen wird (§ 6 Z 9 lit. a EStG). Der Erwerber muss die Buchwerte des Rechtsvorgängers fortführen (Buchwertfortführung)."
Wie wird der besondere Steuersatz für Kapitalvermögen nach § 27a EStG angewandt?,"Einkünfte aus Kapitalvermögen unterliegen einem besonderen Steuersatz von 27,5 % (§ 27a Abs. 1 EStG). Auf Antrag kann eine Veranlagung zum progressiven Tarif erfolgen, wenn dies günstiger ist (Regelbesteuerungsoption)."
Was ist die Zuzugsbegünstigung nach § 103 EStG?,"Die Zuzugsbegünstigung gewährt Personen, die ihren Wohnsitz aus dem Ausland nach Österreich verlegen, bestimmte steuerliche Vorteile (§ 103 EStG). Dies betrifft insbesondere Wissenschaftler und Forscher und kann eine befristete Steuerermäßigung umfassen."
Wie werden Betriebsveranstaltungen steuerlich behandelt?,"Zuwendungen bei Betriebsveranstaltungen wie Weihnachtsfeiern sind bis zu 365 Euro pro Arbeitnehmer und Jahr steuerfrei (§ 3 Abs. 1 Z 14 EStG). Darüber hinausgehende Beträge sind als Sachbezug steuerpflichtig."
Was versteht man unter dem Progressionsvorbehalt im österreichischen Steuerrecht?,"Beim Progressionsvorbehalt werden steuerfreie Einkünfte bei der Ermittlung des Steuersatzes berücksichtigt, obwohl sie selbst nicht besteuert werden. Dies führt zu einem höheren Steuersatz auf die steuerpflichtigen Einkünfte und ist insbesondere bei Doppelbesteuerungsabkommen relevant."
Welche Besonderheiten gelten bei der Gewinnermittlung von Personengesellschaften?,"Bei Personengesellschaften wird der Gewinn zunächst auf Ebene der Gesellschaft ermittelt und dann den einzelnen Gesellschaftern anteilig zugerechnet (§ 23 Z 2 EStG). Jeder Gesellschafter versteuert seinen Anteil im Rahmen seiner persönlichen Einkommensteuer."
Was ist das Lohnkonto nach § 76 EStG?,"Der Arbeitgeber ist verpflichtet, für jeden Arbeitnehmer ein Lohnkonto zu führen (§ 76 Abs. 1 EStG). Es muss alle für die Erhebung der Lohnsteuer relevanten Daten enthalten, insbesondere Bruttobezüge, Sozialversicherungsbeiträge und einbehaltene Lohnsteuer."
Was regelt das UStG über die Berichtigung des Vorsteuerabzugs nach § 12 Abs. 10 UStG?,"Ändert sich die Verwendung eines Investitionsgutes innerhalb von fünf Jahren (bei Grundstücken 20 Jahre), ist der ursprüngliche Vorsteuerabzug zu berichtigen (§ 12 Abs. 10 UStG). Die Berichtigung erfolgt anteilig für die verbleibenden Jahre des Berichtigungszeitraums."
Was regelt § 25 KStG über Verweise auf andere Bundesgesetze?,"§ 25 KStG enthält Verweisungen auf das Einkommensteuergesetz und andere Bundesgesetze, soweit sie für die Körperschaftsteuer sinngemäß anzuwenden sind. Dies stellt die Konsistenz der steuerlichen Regelungen sicher."
Was ist eine Einlage im Sinne des § 8 Abs. 1 KStG?,"Eine Einlage liegt vor, wenn ein Gesellschafter seiner Körperschaft Vermögenswerte zuführt, ohne dafür eine unmittelbare Gegenleistung zu erhalten (§ 8 Abs. 1 KStG). Einlagen gehören nicht zu den steuerpflichtigen Einkünften der Körperschaft."
Welche Rechtsformen können Gruppenträger nach § 9 Abs. 3 KStG sein?,"Gruppenträger kann eine unbeschränkt steuerpflichtige Kapitalgesellschaft oder Erwerbs- und Wirtschaftsgenossenschaft sein (§ 9 Abs. 3 KStG). Auch Betriebsstätten ausländischer Körperschaften können als Gruppenträger fungieren."
Was versteht man unter dem besonderen Steuersatz für Grundstücksveräußerungen nach § 30a EStG?,"Der besondere Steuersatz für private Grundstücksveräußerungen beträgt 30 % der Einkünfte (§ 30a Abs. 1 EStG). Er kann anstelle des progressiven Tarifs angewandt werden. Bei Altgrundstücken, die vor dem 1. April 2002 angeschafft wurden, gelten pauschale Regelungen."
Was regelt § 67a EStG über Start-Up-Mitarbeiterbeteiligungen?,"§ 67a EStG regelt die steuerliche Begünstigung von Start-Up-Mitarbeiterbeteiligungen. Der geldwerte Vorteil aus der unentgeltlichen oder verbilligten Überlassung von Anteilen an Start-Ups wird erst bei der Veräußerung besteuert."
Was versteht man unter einer sonstigen Leistung nach § 3a UStG?,"Eine sonstige Leistung ist jede Leistung, die keine Lieferung ist (§ 3a Abs. 1 UStG). Dazu zählen unter anderem Dienstleistungen, die Überlassung von Rechten, Vermietung und die Gewährung von Duldungen."
Wie funktioniert die Vorsteuererstattung für ausländische Unternehmer?,"Ausländische Unternehmer, die im Inland keine Umsätze tätigen, können sich die österreichische Vorsteuer im Erstattungsverfahren zurückholen. EU-Unternehmer stellen den Antrag elektronisch über das Portal ihres Ansässigkeitsstaates."
Was regelt § 17 EStG über die Gewinnermittlung nach Durchschnittssätzen?,"§ 17 EStG ermöglicht bestimmten Steuerpflichtigen die Gewinnermittlung nach Durchschnittssätzen (Pauschalierung). Betriebsausgaben werden dabei als fester Prozentsatz der Betriebseinnahmen angesetzt, was die Buchführung vereinfacht."
Was versteht man unter dem Veranlagungsfreibetrag nach § 41 Abs. 3 EStG?,"Bei der Arbeitnehmerveranlagung gibt es einen Veranlagungsfreibetrag von 730 Euro für andere Einkünfte neben Lohneinkünften (§ 41 Abs. 3 EStG). Werden diese 730 Euro überschritten, müssen die gesamten anderen Einkünfte versteuert werden."
Was ist die Steuerabgeltung bei der KESt nach § 97 EStG?,"Werden Kapitalerträge mit KESt besteuert, so ist damit die Einkommensteuer für diese Einkünfte abgegolten (§ 97 Abs. 1 EStG). Der Steuerpflichtige muss diese Einkünfte grundsätzlich nicht mehr in der Steuererklärung angeben."
Was ist die Vorsteueraufteilung nach § 12 Abs. 4 UStG?,"Werden Leistungen sowohl für vorsteuerabzugsberechtigte als auch für nicht vorsteuerabzugsberechtigte Umsätze verwendet, ist die Vorsteuer aufzuteilen (§ 12 Abs. 4 UStG). Die Aufteilung erfolgt nach dem Verhältnis der steuerpflichtigen zu den steuerfreien Umsätzen."
Wie werden Verluste bei kapitalistischen Mitunternehmern nach § 23a EStG behandelt?,"Verluste eines beschränkt haftenden Gesellschafters sind nur bis zur Höhe seiner Einlage ausgleichs- und vortragsfähig (§ 23a Abs. 1 EStG). Übersteigen die Verluste die Einlage, entsteht ein Wartetastenverlust, der mit zukünftigen Gewinnen verrechnet wird."
Was regelt § 21 Abs. 2 UStG über die Jahressteuererklärung?,"Der Unternehmer hat bis 30. April des Folgejahres eine Umsatzsteuererklärung für das Kalenderjahr abzugeben (§ 21 Abs. 2 UStG). Bei elektronischer Übermittlung verlängert sich die Frist bis 30. Juni."
Was ist ein Werkvertrag im umsatzsteuerlichen Sinne?,"Ein Werkvertrag liegt vor, wenn ein Unternehmer sich verpflichtet, ein Werk herzustellen. Umsatzsteuerlich kann eine Werklieferung oder eine Werkleistung vorliegen. Eine Werklieferung liegt vor, wenn der Unternehmer einen Hauptstoff beistellt (§ 3 Abs. 2 UStG)."
Was versteht man unter der Mindest-KöSt für GmbHs?,"Die Mindestkörperschaftsteuer für GmbHs beträgt jährlich 1.750 Euro (§ 24 Abs. 4 Z 1 KStG). Sie ist auch dann zu entrichten, wenn die GmbH Verluste erzielt. Gezahlte Mindestkörperschaftsteuer kann in späteren Gewinnjahren angerechnet werden."
Welche Bestimmung regelt die steuerliche Behandlung von Hybridanleihen im KStG?,"Zinsen für Hybridanleihen sind unter bestimmten Voraussetzungen als Betriebsausgabe abzugsfähig (§ 11 Abs. 1 Z 4 KStG). Die Anleihe muss öffentlich angeboten werden und darf kein Eigenkapitalinstrument darstellen."
Was regelt § 26 EStG über Leistungen des Arbeitgebers die nicht zu den Einkünften zählen?,"§ 26 EStG listet Leistungen des Arbeitgebers auf, die nicht zu den Einkünften des Arbeitnehmers zählen. Dazu gehören unter anderem die Erstattung von Reisekosten (§ 26 Z 4 EStG) und Werkzeuggelder (§ 26 Z 1 EStG)."
Wie werden Zukunftsvorsorgebeiträge nach § 108g EStG gefördert?,"Beiträge zu einer prämienbegünstigten Zukunftsvorsorge werden mit einer staatlichen Prämie gefördert (§ 108g EStG). Die Prämie richtet sich nach der Sekundärmarktrendite und wird jährlich festgesetzt."
Was versteht man unter einer festen Niederlassung im Umsatzsteuerrecht?,"Eine feste Niederlassung ist eine ständige Geschäftseinrichtung mit ausreichend Personal und Ausstattung, um Leistungen zu empfangen oder zu erbringen. Sie bestimmt den Leistungsort bei sonstigen Leistungen an Unternehmer gemäß § 3a UStG."
