id,correct_answer,sources
ESTG-NEW-015,"Nein. Auch der Tausch eines Stablecoins gegen einen anderen Stablecoin stellt eine Veräußerung und Neuanschaffung gemäß § 27b Abs. 1 EStG dar. USDT und USDC sind rechtlich und technisch verschiedene Kryptowährungen, unabhängig davon, dass beide den US-Dollar abbilden. Die wirtschaftliche Ähnlichkeit begründet keine steuerliche Identität. Tausch USDT gegen USDC im Februar 2026: Veräußerungserlös 5.000 × EUR 0,95 = EUR 4.750, Anschaffungskosten 5.000 × EUR 0,92 = EUR 4.600, steuerpflichtiger Gewinn EUR 150. Tausch USDT gegen EUR im Mai 2026: Veräußerungserlös 5.000 × EUR 0,97 = EUR 4.850, Anschaffungskosten 5.000 × EUR 0,92 = EUR 4.600, steuerpflichtiger Gewinn EUR 250. Beide Vorgänge unterliegen dem Sondersteuersatz von 27,5 %.",§ 27b Abs. 1 EStG; § 27a Abs. 1 EStG
ESTG-NEW-016,"Die Einlage der Kryptowährung aus dem Privatvermögen in das Betriebsvermögen stellt gemäß § 6 Z 5 EStG eine Einlage dar. Der Einlagewert ist grundsätzlich der Teilwert (Marktwert) zum Einlagezeitpunkt, also EUR 3.200/ETH. Die im Privatvermögen enthaltene stille Reserve (EUR 3.200 – EUR 1.500 = EUR 1.700 pro ETH) wird durch die Einlage jedoch gemäß § 6 Z 5 lit. b EStG nicht realisiert – sie bleibt im Betriebsvermögen verstrickt, die AK für die betriebliche Gewinnermittlung betragen die fortgeführten AK von EUR 1.500/Stück. Die Entnahme zum Marktwert EUR 3.500/ETH führt zu einem betrieblichen Gewinn von 10 × (3.500 – 1.500) = EUR 20.000 (Einkünfte aus Gewerbebetrieb, progressiver Tarif). Bei der anschließenden Veräußerung im Privatvermögen sind die Anschaffungskosten mit dem Entnahmewert EUR 3.500 anzusetzen. Veräußerungsgewinn: 10 × (3.800 – 3.500) = EUR 3.000, steuerpflichtig mit 27,5 % gemäß § 27b Abs. 1 iVm § 27a Abs. 1 EStG.",§ 6 Z 5 EStG; § 6 Z 5 lit. b EStG; § 23 EStG; § 27b Abs. 1 EStG; § 27a Abs. 1 EStG
ESTG-NEW-017,"Bei einem unentgeltlichen Erwerb (Erbschaft) tritt gemäß § 27b Abs. 3 EStG der Erbe in die Rechtsposition des Rechtsvorgängers ein (Buchwertfortführung). Entscheidend ist, dass die Tante die BTC vor dem 1. März 2021 angeschafft hat – somit greift die Übergangsregelung des § 124b Z 384 lit. a EStG. Für Kryptowährungen, die vor dem 1. März 2021 angeschafft wurden, gilt die alte Rechtslage (Spekulationsfrist gemäß § 31 EStG aF). Da die Spekulationsfrist von einem Jahr bereits abgelaufen war, wären die BTC bei der Tante bei Veräußerung steuerfrei gewesen. Da Frau Wimmer in deren Rechtsposition eintritt, sind auch bei ihr die BTC steuerfrei veräußerbar. Der Altvermögensstatus geht mit der Erbschaft über. Es fällt keine Einkommensteuer an.",§ 27b Abs. 3 EStG; § 124b Z 384 lit. a EStG; § 31 EStG aF
ESTG-NEW-018,"Ein Verlust aus Kryptowährungen kann gemäß § 27 Abs. 8 EStG nur bei einer tatsächlichen Veräußerung oder einem dieser gleichgestellten Vorgang verrechnet werden. Der bloße Verlust des Zugangs durch die Insolvenz der Börse stellt noch keine Veräußerung dar. Allerdings kommt ein Forderungsausfall in Betracht: Die Guthaben auf der CEX stellen wirtschaftlich eine Forderung gegen die Börse dar. Die Realisation des Verlustes erfolgt im Zeitpunkt der endgültigen Quotenausschüttung bzw. Bestätigung der Abschlussquote. Die Anschaffungskosten betragen 15 × EUR 2.400 = EUR 36.000. Der erhaltene Betrag beträgt EUR 9.600. Der realisierte Verlust beträgt EUR 36.000 – EUR 9.600 = EUR 26.400. Dieser Verlust ist im Rahmen des § 27 Abs. 8 EStG mit anderen Einkünften aus Kapitalvermögen gemäß § 27 verrechenbar, jedoch nicht vortragsfähig.",§ 27 Abs. 8 EStG; § 27b Abs. 1 EStG; § 27 Abs. 3 EStG
ESTG-NEW-019,"Der Reverse Stock Split an sich ist für die glatten Anteile kein steuerpflichtiger Vorgang, da sich nur die Stückelung ändert und die Beteiligungsquote unverändert bleibt. Die Anschaffungskosten der alten Aktien werden auf die neuen Aktien übertragen: 1.000 Aktien × EUR 5 = EUR 5.000, aufgeteilt auf 100 neue Aktien = EUR 50/Aktie. Für die 5 überschüssigen Aktien (Spitze), die gegen Barabfindung eingezogen werden, liegt jedoch eine Veräußerung gemäß § 27 Abs. 3 EStG vor. Die Anschaffungskosten der 5 Spitzenaktien betragen 5 × EUR 5 = EUR 25. Veräußerungserlös: EUR 250. Steuerpflichtiger Gewinn aus der Spitzenabfindung: EUR 250 – EUR 25 = EUR 225, steuerpflichtig mit 27,5 % (§ 27a Abs. 1 EStG). Der Reverse Split ist daher nicht zur Gänze steuerlich neutral.",§ 27 Abs. 3 EStG; § 27a Abs. 3 Z 2 lit. a EStG; § 27a Abs. 1 EStG
ESTG-NEW-020,"Die Staking-Rewards sind bereits zum Zeitpunkt der jeweiligen Gutschrift steuerpflichtig, nicht erst bei Beendigung des Stakings und Übertragung auf die Wallet. Gemäß § 27b Abs. 2 EStG entsteht die Steuerpflicht für Einkünfte aus der Überlassung von Kryptowährungen mit dem Zufluss. Beim automatischen Re-Staking (Compounding) erfolgt der Zufluss bereits mit der Gutschrift der Rewards im Staking-Protokoll, da die Rewards dem Steuerpflichtigen in diesem Moment wirtschaftlich zugerechnet werden – auch wenn sie automatisch wieder gestakt werden. Die ‚Verfügung' besteht darin, dass das automatische Re-Staking jederzeit hätte deaktiviert werden können. Die Einkünfte betragen EUR 3.400, verteilt auf die jeweiligen Zuflusszeitpunkte, jeweils steuerpflichtig mit 27,5 %. Die Anschaffungskosten der durch Re-Staking erhaltenen DOT betragen EUR 0. Die Beendigung des Stakings und Auszahlung auf die Wallet ist kein zusätzlicher steuerpflichtiger Vorgang.",§ 27b Abs. 2 EStG; § 19 Abs. 1 EStG; § 27a Abs. 1 EStG
VAT-DOM-001,"Ja. Unterstützt ein Unternehmer über eine elektronische Schnittstelle einen Einfuhr-Versandhandelsumsatz und übersteigt der Einzelwert der Waren je Sendung 150 Euro nicht, wird er so behandelt, als ob er die Gegenstände selbst erhalten und geliefert hätte.","§ 3 Abs. 3a Z 1 UStG 1994, § 3 Abs. 8a UStG 1994"
VAT-DOM-002,"Die Beförderung wird der Lieferung durch den Zwischenhändler B zugeordnet, also der Lieferung B an C. Teilt der Zwischenhändler seinem Lieferer die UID des Abgangsmitgliedstaats mit, greift § 3 Abs. 15 Z 1 lit. b; die davorliegende Lieferung A an B gilt dann dort als ausgeführt, wo die Beförderung beginnt.","§ 3 Abs. 15 Z 1 lit. b UStG 1994, § 3 Abs. 15 Z 3 UStG 1994, § 3 Abs. 15 Z 6 UStG 1994"
VAT-DOM-003,"Es liegt eine sonstige Leistung (Werkleistung) vor. Überlässt der Unternehmer anstelle des herzustellenden Gegenstands einen gleichartigen Gegenstand aus seinem Bestand und wird das Entgelt nach Art eines Werklohns unabhängig vom Preisunterschied berechnet, ordnet § 3a Abs. 3 die Leistung als sonstige Leistung ein.",§ 3a Abs. 3 UStG 1994
VAT-DOM-004,"Ja. Besorgt ein Unternehmer eine sonstige Leistung, sind die für die besorgte Leistung geltenden Vorschriften entsprechend anzuwenden. Bei Eintrittsberechtigungen und damit zusammenhängenden Leistungen für Veranstaltungen an einen Unternehmer liegt der Leistungsort dort, wo die Veranstaltung tatsächlich stattfindet. Da die Messe in Wien stattfindet, liegt der Leistungsort in Österreich.","§ 3a Abs. 4 UStG 1994, § 3a Abs. 11a UStG 1994"
VAT-DOM-005,"Nein. Wird eine in § 3a Abs. 11 lit. a genannte unterrichtende oder wissenschaftliche Leistung per Streaming an einen Nichtunternehmer erbracht, liegt der Leistungsort dort, wo der Leistungsempfänger seinen Wohnsitz, Sitz oder gewöhnlichen Aufenthalt hat. Daher liegt der Leistungsort in Spanien.","§ 3a Abs. 13 lit. b UStG 1994, § 3a Abs. 11 lit. a UStG 1994"
VAT-DOM-006,"Nein. Muss ein Abnehmer dem Lieferer die bei der Bearbeitung oder Verarbeitung entstehenden Nebenerzeugnisse oder Abfälle zurückgeben, beschränkt sich die Lieferung auf den Gehalt des Gegenstandes an den Bestandteilen, die dem Abnehmer verbleiben. Das gilt auch dann, wenn der Abnehmer statt der konkret entstandenen Nebenerzeugnisse oder Abfälle Gegenstände gleicher Art zurückgibt, wie sie in seinem Unternehmen regelmäßig anfallen.",§ 3 Abs. 5 UStG 1994
VAT-DOM-007,"Nein. Wird ein Gegenstand an Bord eines Luftfahrzeugs während einer Beförderung innerhalb der Gemeinschaft geliefert, gilt der Abgangsort des Personenbeförderungsmittels im Gemeinschaftsgebiet als Ort der Lieferung. Da der Flug in Wien im Gemeinschaftsgebiet beginnt und kein Zwischenaufenthalt außerhalb des Gemeinschaftsgebiets vorliegt, liegt der Ort der Lieferung in Österreich.",§ 3 Abs. 11 UStG 1994; § 3 Abs. 12 UStG 1994
VAT-DOM-008,"Nein. Bei der Lieferung von Elektrizität an einen Unternehmer, dessen Haupttätigkeit in der Weiterlieferung dieser Gegenstände besteht und dessen eigener Verbrauch von untergeordneter Bedeutung ist, gilt die Lieferung dort als ausgeführt, wo der Abnehmer sein Unternehmen betreibt. Daher liegt der Ort der Lieferung in Italien.",§ 3 Abs. 13 UStG 1994
VAT-DOM-009,"Nein. Zwar wird die Verwendung eines dem Unternehmen zugeordneten Gegenstandes für unternehmensfremde Zwecke grundsätzlich einer sonstigen Leistung gegen Entgelt gleichgestellt, wenn der Gegenstand zum vollen oder teilweisen Vorsteuerabzug berechtigt hat. Diese Gleichstellung gilt aber ausdrücklich nicht für die Verwendung eines dem Unternehmen zugeordneten Grundstückes.",§ 3a Abs. 1a Z 1 UStG 1994
VAT-DOM-010,"Nein. Wird der Gegenstand der Lieferung durch den Lieferer oder den Abnehmer befördert oder versendet, gilt die Lieferung dort als ausgeführt, wo die Beförderung oder Versendung beginnt. Bei einer Versendung beginnt diese mit der Übergabe des Gegenstandes an den Spediteur, Frachtführer oder Verfrachter. Daher liegt der Ort der Lieferung in Zürich und nicht in Graz.",§ 3 Abs. 8 UStG 1994
VAT-DOM-011,"Nein. Beim Kommissionsgeschäft liegt zwar zwischen Kommittenten und Kommissionär eine Lieferung vor. Bei der Verkaufskommission gilt die Lieferung des Kommittenten aber erst mit der Lieferung durch den Kommissionär als ausgeführt. Solange der Kommissionär noch nicht an den Endkunden geliefert hat, gilt die Lieferung des Produzenten noch nicht als ausgeführt.",§ 3 Abs. 3 UStG 1994
VAT-DOM-012,"Sie ist als Lieferung zu behandeln. Übernimmt der Unternehmer die Bearbeitung oder Verarbeitung eines vom Auftraggeber beigestellten Gegenstands und verwendet er dabei selbst beschaffte Stoffe, die nicht nur Zutaten oder sonstige Nebensachen sind, liegt eine Werklieferung vor. Das gilt auch dann, wenn die Gegenstände mit dem Grund und Boden fest verbunden werden.",§ 3 Abs. 4 UStG 1994
VAT-DOM-013,"Nein. Fällt die Lieferung von Elektrizität nicht unter § 3 Abs. 13, gilt sie dort als ausgeführt, wo der Abnehmer die Gegenstände tatsächlich nutzt und verbraucht. Da die Papierfabrik den Strom in Linz tatsächlich verbraucht, liegt der Ort der Lieferung in Österreich.",§ 3 Abs. 14 UStG 1994
VAT-DOM-014,"Der Ort der Vermittlungsleistung liegt in Belgien. Eine Vermittlungsleistung an einen Nichtunternehmer wird dort erbracht, an dem der vermittelte Umsatz ausgeführt wird. Da die vermittelte Lieferung mangels Beförderung oder Versendung dort ausgeführt wird, wo sich der Gegenstand zur Zeit der Verschaffung der Verfügungsmacht befindet, liegt auch der Ort der Vermittlungsleistung in Belgien.",§ 3a Abs. 8 UStG 1994; § 3 Abs. 7 UStG 1994
VAT-DOM-015,"Nein. Zwar wird die nicht kurzfristige Vermietung eines Beförderungsmittels an einen Nichtunternehmer grundsätzlich an dem Ort ausgeführt, an dem der Leistungsempfänger seinen Wohnsitz, Sitz oder gewöhnlichen Aufenthalt hat. Für die Vermietung eines Sportbootes gilt jedoch abweichend der Ort der tatsächlichen Zurverfügungstellung, wenn dieser Ort mit dem Ort übereinstimmt, von dem aus der Unternehmer sein Unternehmen betreibt oder die Betriebsstätte die Leistung ausführt. Daher liegt der Leistungsort in Split.",§ 3a Abs. 12 Z 2 UStG 1994
VAT-DOM-016,"Ja. Eine Lieferung liegt vor, wenn der Unternehmer den Abnehmer befähigt, im eigenen Namen über einen Gegenstand zu verfügen. Maßgeblich ist die Verschaffung der Verfügungsmacht, nicht der zivilrechtliche Eigentumsübergang. Wenn der Kunde die Anlage bereits im eigenen Namen wirtschaftlich beherrschen kann, liegt eine Lieferung vor.",§ 3 Abs. 1 UStG 1994
VAT-DOM-017,"Nein. Als Bearbeitung oder Verarbeitung gilt nur eine Behandlung, durch welche nach der Verkehrsauffassung ein neues Verkehrsgut entsteht, also ein Gegenstand anderer Marktgängigkeit. Bleiben die behandelten Gegenstände trotz Reinigung, Glättung und Zuschnitt derselben Marktgattung zugeordnet, entsteht kein neues Verkehrsgut.",§ 3 Abs. 6 UStG 1994
VAT-DOM-018,"Nein. Eine sonstige Leistung an einen Unternehmer wird grundsätzlich an dem Ort ausgeführt, von dem aus der Empfänger sein Unternehmen betreibt. Wird die sonstige Leistung aber an die Betriebsstätte eines Unternehmers ausgeführt, ist stattdessen der Ort der Betriebsstätte maßgebend. Daher liegt der Leistungsort in Italien.",§ 3a Abs. 6 UStG 1994
VAT-DOM-019,"Ja. Sonstige Leistungen sind Leistungen, die nicht in einer Lieferung bestehen. Eine sonstige Leistung kann auch in einem Unterlassen oder im Dulden einer Handlung oder eines Zustandes bestehen. Der entgeltliche Verzicht auf die Ausübung des Widerspruchsrechts und die Duldung der Nutzung sind daher eine sonstige Leistung.",§ 3a Abs. 1 UStG 1994
VAT-DOM-020,"Nein. Zwar werden bestimmte Beratungsleistungen an einen Nichtunternehmer mit Sitz im Drittlandsgebiet grundsätzlich an dessen Wohnsitz, Sitz oder gewöhnlichen Aufenthalt ausgeführt. Bei einer solchen Leistung an eine juristische Person des öffentlichen Rechts, die Nichtunternehmer ist, verlagert sich der Leistungsort aber vom Drittlandsgebiet ins Inland, wenn die Leistung im Inland genutzt oder ausgewertet wird. Daher liegt der Leistungsort in Österreich.",§ 3a Abs. 14 Z 3 und Z 4 UStG 1994; § 3a Abs. 15 UStG 1994
VAT-DOM-021,"Nein. Die Vermietung und Verpachtung von Grundstücken durch öffentlich-rechtliche Körperschaften gilt nach § 2 Abs. 3 UStG stets als gewerbliche oder berufliche Tätigkeit; die Gemeinde ist insoweit Unternehmerin, sodass ihre entgeltlichen Inlandsumsätze dem Grunde nach unter § 1 Abs. 1 Z 1 UStG fallen.",§ 1 Abs. 1 Z 1 UStG 1994; § 2 Abs. 3 UStG 1994
VAT-DOM-022,"Nein. Für Organschaft verlangt § 2 Abs. 2 Z 2 UStG finanzielle, wirtschaftliche und organisatorische Eingliederung; fehlt die organisatorische Eingliederung, liegt keine Organschaft vor, sodass die Berufung auf die organschaftliche Einheitsbehandlung nicht trägt.",§ 2 Abs. 2 Z 2 UStG 1994
VAT-DOM-023,"Nein. Zwar nennt § 2 Abs. 1 UStG die nachhaltige Tätigkeit zur Erzielung von Einnahmen als Grundregel, § 2 Abs. 5 Z 2 UStG nimmt aber Tätigkeiten aus, die auf Dauer gesehen keine Gewinne oder Einnahmenüberschüsse erwarten lassen; dann liegt Liebhaberei vor.",§ 2 Abs. 1 UStG 1994; § 2 Abs. 5 Z 2 UStG 1994
VAT-DOM-024,"Ja. § 1 Abs. 1 Z 2 lit. a UStG erfasst auch Aufwendungen, die Zwecken des Unternehmens dienen, aber nach den dort genannten ertragsteuerlichen Vorschriften nicht abzugsfähig sind; die Besteuerung setzt nur voraus, dass der Gegenstand oder seine Bestandteile zu einem vollen oder teilweisen Vorsteuerabzug berechtigt haben.",§ 1 Abs. 1 Z 2 lit. a UStG 1994
VAT-DOM-025,"Nein. Beträge, die der Unternehmer im Namen und für Rechnung eines anderen vereinnahmt und verausgabt, gehören nach § 4 Abs. 3 UStG nicht zum Entgelt und damit nicht zur Bemessungsgrundlage.",§ 4 Abs. 1 UStG 1994; § 4 Abs. 3 UStG 1994
VAT-DOM-026,"Der Arzt gilt insoweit selbst dann als Unternehmer, wenn er zugleich in einem Dienstverhältnis zur Krankenanstalt steht. § 2 Abs. 6 UStG ordnet für solche vereinnahmten Entgelte ausdrücklich die Unternehmereigenschaft an.",§ 2 Abs. 6 UStG 1994
VAT-DOM-027,"Die Zahlung ist kein Eigenverbrauch nach § 1 Abs. 1 Z 2 lit. a UStG. Der Tatbestand nimmt Geldzuwendungen ausdrücklich aus, selbst wenn die Ausgabe betrieblich veranlasst ist.",§ 1 Abs. 1 Z 2 lit. a UStG 1994
VAT-DOM-028,"Der von dem Konzernunternehmen geleistete Betrag gehört zur Bemessungsgrundlage. Nach § 4 Abs. 2 Z 2 UStG zählt auch das zum Entgelt, was ein anderer als der Empfänger dem Unternehmer für die Leistung gewährt.",§ 4 Abs. 1 UStG 1994; § 4 Abs. 2 Z 2 UStG 1994
VAT-DOM-029,Es liegt ein Tausch vor. Nach § 4 Abs. 6 UStG gilt der Wert jedes Umsatzes als Entgelt für den anderen Umsatz; jede Lieferung bildet daher die Bemessungsgrundlage der Gegenleistung.,§ 4 Abs. 6 UStG 1994
VAT-DOM-030,"Maßgeblich ist nicht der volle Gesamtwert des wiedereingeführten Gegenstands, sondern grundsätzlich das für die Veredlung zu zahlende Entgelt. Nur wenn ein solches Entgelt nicht gezahlt wird, ist auf die durch die Veredlung eingetretene Wertsteigerung abzustellen.",§ 5 Abs. 2 UStG 1994
VAT-DOM-031,Bei der Geschäftsveräußerung ist Bemessungsgrundlage das Entgelt für die auf den Erwerber übertragenen Gegenstände und Rechte; übernommene Schulden können nach § 4 Abs. 7 UStG nicht abgezogen werden.,§ 4 Abs. 7 UStG 1994
VAT-DOM-032,"In dieser Konstellation ist der Normalwert maßgeblich. § 4 Abs. 9 lit. a UStG ersetzt das tatsächlich vereinbarte Entgelt durch den Normalwert, wenn das Entgelt niedriger als der Normalwert ist und der Empfänger nicht oder nicht zum vollen Vorsteuerabzug berechtigt ist.",§ 4 Abs. 9 lit. a UStG 1994
VAT-DOM-033,Die Bemessungsgrundlage ist nicht mit null anzusetzen. Im Fall des § 3 Abs. 2 UStG ist nach § 4 Abs. 8 lit. a UStG mangels Einkaufspreises auf die Selbstkosten im Zeitpunkt des Umsatzes abzustellen.,§ 3 Abs. 2 UStG 1994; § 4 Abs. 8 lit. a UStG 1994
VAT-DOM-034,"In die Bemessungsgrundlage sind nicht nur die Nebenkosten bis zum ersten Bestimmungsort einzubeziehen, sondern auch die Kosten bis zu dem anderen in der Gemeinschaft gelegenen Bestimmungsort, wenn dieser im Zeitpunkt des Entstehens der Einfuhrumsatzsteuer bereits bekannt ist.",§ 5 Abs. 4 Z 3 UStG 1994
VAT-DOM-035,Diese Tätigkeit gilt nach § 2 Abs. 5 Z 1 UStG nicht als gewerbliche oder berufliche Tätigkeit. Die von Funktionären im Sinne des § 29 Z 4 EStG in Wahrnehmung ihrer Funktionen ausgeübte Tätigkeit ist ausdrücklich vom Unternehmerbegriff ausgenommen.,§ 2 Abs. 1 UStG 1994; § 2 Abs. 5 Z 1 UStG 1994
VAT-DOM-036,"Diese Tätigkeit gilt nach § 2 Abs. 4 Z 4 UStG ausdrücklich als gewerbliche oder berufliche Tätigkeit. Soweit der Bund die Benützung oder Übertragung der Eisenbahninfrastruktur duldet, ist er insoweit Unternehmer.",§ 2 Abs. 4 Z 4 UStG 1994
VAT-DOM-037,"Der Betrag gehört zur Bemessungsgrundlage. Nach § 4 Abs. 2 Z 1 UStG zählt auch das zum Entgelt, was der Empfänger freiwillig aufwendet, um die Leistung zu erhalten.",§ 4 Abs. 1 UStG 1994; § 4 Abs. 2 Z 1 UStG 1994
VAT-DOM-038,"Nein. § 1 Abs. 1 Z 2 lit. a UStG nimmt Ausgaben ausdrücklich aus, die Lieferungen oder sonstige Leistungen betreffen, welche auf Grund des § 12 Abs. 2 nicht als für das Unternehmen ausgeführt gelten; insoweit greift dieser Eigenverbrauchstatbestand gerade nicht.",§ 1 Abs. 1 Z 2 lit. a UStG 1994
VAT-DOM-039,"Nein. § 5 Abs. 6 UStG ordnet ausdrücklich an, dass die Umsatzsteuer (Einfuhrumsatzsteuer) nicht zur Bemessungsgrundlage gehört.",§ 5 Abs. 6 UStG 1994
VAT-DOM-040,"Auch eine Tätigkeit nur gegenüber Mitgliedern kann gewerblich oder beruflich sein. § 2 Abs. 1 UStG stellt ausdrücklich klar, dass jede nachhaltige Tätigkeit zur Erzielung von Einnahmen auch dann erfasst ist, wenn eine Personenvereinigung nur gegenüber ihren Mitgliedern tätig wird.",§ 2 Abs. 1 UStG 1994
VAT-DOM-041,"Ja. Nach § 7 Abs. 1 Z 1 genügt, dass der Unternehmer den Gegenstand in das Drittlandsgebiet befördert oder versendet; ein ausländischer Abnehmer ist dafür nicht erforderlich.",§ 7 Abs. 1 Z 1 UStG 1994
VAT-DOM-042,Nein. Eine im Inland befindliche Zweigniederlassung ist nach § 7 Abs. 2 lit. b nicht ausländischer Abnehmer; daher trägt § 7 Abs. 1 Z 2 nicht.,§ 7 Abs. 1 Z 2 UStG 1994; § 7 Abs. 2 lit. b UStG 1994
VAT-DOM-043,"Ja, sofern die übrigen Voraussetzungen des § 7 Abs. 1 Z 3 vorliegen. Für Wohnsitz oder gewöhnlichen Aufenthalt zählt die im Reisepass oder sonstigen Grenzübertrittsdokument eingetragene Anschrift; die tatsächliche Aufenthaltslage ist dafür nicht maßgeblich.",§ 7 Abs. 1 Z 3 lit. a bis c UStG 1994
VAT-DOM-044,"Nein. Für Gegenstände zur Ausrüstung oder Versorgung eines Beförderungsmittels gilt die Sonderregel nur im Rahmen des § 7 Abs. 1 Z 2 und nur, wenn der Abnehmer ausländischer Unternehmer ist und das Beförderungsmittel den Zwecken seines Unternehmens dient; bei bloß privater Nutzung scheidet die Steuerfreiheit aus, und für Fälle des § 7 Abs. 1 Z 3 ist sie ausgeschlossen.",§ 7 Abs. 3 UStG 1994; § 7 Abs. 1 Z 2 UStG 1994; § 7 Abs. 1 Z 3 UStG 1994
VAT-DOM-045,"Nein. Die Steuerfreiheit vor Erbringung des Ausfuhrnachweises darf nach § 7 Abs. 4 nur in Anspruch genommen werden, wenn der Ausfuhrnachweis innerhalb von sechs Monaten nach Bewirkung der Lieferung erbracht wird.",§ 7 Abs. 4 UStG 1994
VAT-DOM-046,"Ja. § 8 Abs. 1 Z 1 ist erfüllt, wenn der Unternehmer einen zu diesem Zweck im Gemeinschaftsgebiet erworbenen Gegenstand bearbeitet oder verarbeitet und den bearbeiteten Gegenstand selbst vom Inland in das Drittlandsgebiet befördert.",§ 8 Abs. 1 Z 1 UStG 1994
VAT-DOM-047,"Ja, sofern die Schweizer Gesellschaft ein ausländischer Auftraggeber ist und sie den bearbeiteten Gegenstand vom Inland in das Drittlandsgebiet befördert oder versendet; dann greift § 8 Abs. 1 Z 2.",§ 8 Abs. 1 Z 2 UStG 1994; § 8 Abs. 2 UStG 1994
VAT-DOM-048,Ja. § 8 Abs. 1 erfasst auch eine sonstige Leistung im Sinne des § 3a Abs. 3; die Lohnveredlung ist daher nicht auf die bloße physische Bearbeitung oder Verarbeitung beschränkt.,§ 8 Abs. 1 UStG 1994; § 3a Abs. 3 UStG 1994
VAT-DOM-049,Nein. Eine im Inland befindliche Zweigniederlassung eines Unternehmers ist nicht ausländischer Abnehmer; über die Verweisung des § 8 Abs. 2 auf § 7 Abs. 2 fehlt damit die Voraussetzung des ausländischen Auftraggebers.,§ 8 Abs. 2 UStG 1994; § 7 Abs. 2 UStG 1994
VAT-DOM-050,"Nein. Die Voraussetzungen des § 8 müssen buchmäßig nachgewiesen sein; fehlt dieser Nachweis, ist die Lohnveredlung nach dem Normtext nicht ausreichend belegt.",§ 8 Abs. 1 UStG 1994; § 8 Abs. 3 UStG 1994
VAT-DOM-051,"Nein, weil das Wasserfahrzeug nicht für die Seeschiffahrt oder die Rettung Schiffbrüchiger bestimmt ist.",§ 9 Abs. 1 Z 1 UStG 1994; § 9 Abs. 3 UStG 1994
VAT-DOM-052,"Nein, Bordproviant zur Versorgung von Wasserfahrzeugen der Küstenfischerei ist ausdrücklich nicht befreit.",§ 9 Abs. 1 Z 3 UStG 1994; § 9 Abs. 3 UStG 1994
VAT-DOM-053,"Ja, das ist eine sonstige Leistung für den unmittelbaren Bedarf des Wasserfahrzeugs einschließlich seiner Ladung und fällt unter § 9 Abs. 1 Z 4.",§ 9 Abs. 1 Z 4 UStG 1994; § 9 Abs. 3 UStG 1994
VAT-DOM-054,"Ja, weil die Airline im entgeltlichen Luftverkehr überwiegend grenzüberschreitende Beförderungen durchführt; damit ist § 9 Abs. 2 Z 1 erfüllt.",§ 9 Abs. 2 Z 1 UStG 1994; § 9 Abs. 3 UStG 1994
VAT-DOM-055,"Nein, die Voraussetzungen der Absätze 1 und 2 müssen nach § 9 Abs. 3 buchmäßig nachgewiesen sein.",§ 9 Abs. 2 Z 1 UStG 1994; § 9 Abs. 3 UStG 1994
VAT-DOM-056,Ja. Werbliche Inhalte schließen die Begünstigung für Zeitungen und andere periodische Druckschriften nicht aus.,§ 10 Abs. 2 Z 1 lit. a UStG 1994; Anlage 1 Z 33 lit. b UStG 1994
VAT-DOM-057,"Ja, sofern die elektronische Publikation nicht vollständig oder im Wesentlichen aus Video- oder Musikinhalten besteht und nicht Werbezwecken dient.",§ 10 Abs. 2 Z 9 UStG 1994; Anlage 1 Z 33 lit. a UStG 1994
VAT-DOM-058,"Nein. Die Begünstigung für ein ortsübliches Frühstück gilt nur, wenn der Preis dafür im Beherbergungsentgelt enthalten ist.",§ 10 Abs. 2 Z 3 lit. c UStG 1994
VAT-DOM-059,"Ja, Leistungen, die regelmäßig mit dem Betrieb eines Museums verbunden sind, fallen unter den 13%-Satz, sofern keine Befreiung nach § 6 eingreift.",§ 10 Abs. 3 Z 6 lit. c UStG 1994
VAT-DOM-060,"Der 13%-Satz gilt für die Beförderung von Personen mit Luftverkehrsfahrzeugen, soweit keine andere Sonderregelung eingreift.",§ 10 Abs. 3 Z 9 UStG 1994
VAT-DOM-061,"Die Befreiung greift nicht einheitlich für die gesamte Sendung, sondern nur für die unentgeltlich eingeführten Gegenstände. Erfasst sind daher die Manuskripte und die Demonstrationsobjekte, nicht jedoch die Modelle, weil diese entgeltlich von einem Unternehmer erworben wurden.",§ 6 Abs. 4 Z 4 lit. g UStG 1994
VAT-DOM-062,"Die Einfuhr ist nicht als Rückware steuerfrei. Maßgeblich ist nicht nur die unveränderte Rückkehr des Gegenstands, sondern auch, dass die frühere Ausfuhr nicht in einer Weise erfolgt sein darf, die nach der Norm die Befreiung ausschließt. Die vorangegangene steuerfreie Ausfuhrlieferung steht der Rückwarenbefreiung hier entgegen.",§ 6 Abs. 4 Z 8 UStG 1994
VAT-DOM-063,"Die Einfuhr ist nicht steuerfrei. Die Befreiung setzt voraus, dass die mit den eingeführten Gegenständen hergestellten Waren zur Gänze aus dem Zollgebiet der Union ausgeführt werden. Dass ein Teil zunächst im Inland verbleibt, genügt, um diese Voraussetzung nicht als erfüllt anzusehen.",§ 6 Abs. 4 Z 7 UStG 1994
VAT-DOM-064,"Die Einfuhr ist nicht steuerfrei. Für die Befreiung kommt es auf die Art der Einfuhr an. Entscheidend ist, ob die Gegenstände unentgeltlich eingeführt werden. Dass sie im Inland später unentgeltlich weitergegeben werden oder aus Spenden finanziert sind, ersetzt diese Voraussetzung nicht.",§ 6 Abs. 4 Z 4 lit. j UStG 1994
