question,answer
"Zudem erhält Herr Amozo Zinsen von der printmedia SARL (eine mit einer österreichischen
GmbH vergleichbare Gesellschaft). Die printmedia SARL hat ihren Sitz und Ort der
Geschäftsleitung in Paris (Frankreich). Im November X8 erhält Herr Amozo von der
printmedia SARL eine Zinszahlung in Höhe von EUR 10.000.
a) Prüfen Sie aus Sicht des internationalen Steuerrechts, ob und inwieweit
die beiden Vertragsstaaten die an Herrn Amozo ausgeschütteten Zinsen
besteuern dürfen und wie eine allfällige Doppelbesteuerung zu vermeiden
ist. Gehen Sie dabei davon aus, dass das DBA Österreich-Frankreich dem
OECD-Musterabkommen 2017 entspricht und die Befreiungsmethode nach
Art 23A OECD-MA vorsieht. Fragen des nationalen Steuerrechts sind nicht
zu prüfen ","DBA-Recht:
Persönlicher Geltungsbereich DBA:
Art 1 iVm Art 4 Abs 1 DBA: Herr Amozo ist in Ö ansässig (unbeschränkte Steuerpflicht
in Ö [s.o.]), daher DBA anwendbar
Sachlicher Geltungsbereich DBA:
Art 2 Abs 1 und 2 DBA: ESt fällt unter den sachlichen Geltungsbereich des DBA
Verteilungsnorm hinsichtlich der Zinsen:
Art 11 Abs 1 (iVm Abs 3) DBA: Österreich als Ansässigkeitsstaat des Herrn Amozo darf
„Zinsen“ besteuern
Art 11 Abs 2 DBA: Auch Frankreich darf Zinsen besteuern, aber maximal zu 10 %
Methodenartikel:
Art 23A Abs 1 DBA: Zinsen sind vorbehaltlich des Abs 2 in Österreich von der
Besteuerung auszunehmen
Art 23A Abs 2 iVm Art 10 DBA: Anstelle der Befreiungsmethode hat Österreich die
Doppelbesteuerung der Zinsen durch Anrechnung der französischen Quellensteuer zu
vermeiden"
"m Eigentum der Gemeinde Schönerwohnen steht ein Gebäude. Dieses vermietet sie an den
Steuerberater Zahlenfuchs, der sie als Kanzleiräumlichkeiten nutzt. Er erzielt einen
Jahresumsatz von EUR. 20.000 und möchte sich nicht mit der USt beschäftigen. Unterliegen
die Umsätze aus der Vermietung der Umsatzsteuer?","Gemeinde
- Körperschaft des öffR
- Unternehmerisch tätig werden: Betriebs- und
Gemeinde und Unternehmertätigkeit?
Ausgangsleistung?
Steuerbefreiung?
Landwirtschaftlicher Erwerb
- Mit fiktivem Betrieb grundsätzlich unternehmerisch tätig
Vermietung
- Vermietung für Unternehmenszweck
- §6 Abs 1 Z 16: unechte Steuerbefreiung; USt befreit, aber Vorsteuerabzug steht nicht
zu
- Optionsmöglichkeit in §6 Abs 2
o Wenn ….. selbst berechtigt ist
o Z ist Kleinunternehmer, weil unter 20.000€ Jahresumsatz bleibt
 USt befreit, aber Vorsteuerabzug berechtigt
 Könnte grds optieren, aber in Angabe: möchte sich nicht mit USt
beschäftigen = nicht optiert"
"Ein Haus mit sechs Wohnungen wird folgendermaßen vermietet: Fünf Wohnungen an
Private für Wohnzwecke und eine Wohnung als Ordination an einen Arzt.","Arzt ist selbst unecht Steuerbefreit, deshalb steht ihm kein Steuerabzug zu; kann nicht in die
Regelbesteuerung optiert werden.
Konsequenz: Vermietung an Arzt ist steuerbar, aber nicht steuerpflichtig!"
"Herr Fröhlich betreibt ein Fahrradgeschäft. Um auf sich aufmerksam zu machen und mehr
Kunden anzuziehen, verkauft er im Mai alle Fahrradpumpen um 10 Euro (exklusive USt). Im
Einkauf kosten die Pumpen aber 15 Euro (exklusive USt).
Beraten Sie Herrn Fröhlich mit Blick auf die umsatzsteuerrechtlichen Implikationen.","Kein unternehmensfremdes Motiv, Bemessungsgrundlage bleiben die 10€"
"Herr Wörth betreibt ein Hotel am Wörthersee. Er bietet seinem Personal an, mittags im
Restaurant zu essen. Hierfür verlangt Herr Wörth 3 Euro. Die Kosten für die Zubereitung
dieser Speisen liegt bei 5 Euro. An Hotelgäste werden die Speisen um 15 Euro verkauft.
Beraten Sie Herrn Wörth mit Blick auf die umsatzsteuerrechtlichen Implikationen.","- Bemessungsgrundlage grds das Entgelt
- aber Mindestbemessungsgrundlage §4 Abs 9 -> entspricht dem
Normalwert/Verkehrswert
- Personal ist nicht zum Vorsteuerabzug berechtigt Bemessungsgrundlage sind €15"
"A plant, sein Geschäft im 8. Wiener Gemeindebezirk einem Imagewechsel zu unterziehen.
Um den Lagerraum für die neue Ware zu leeren, verkauft er seinen Restbestand an billig
produzierter Kleidung um einen Spottpreis.","Trotzdem Unternehmenszweck, da Imagewechsel. Kein unternehmensfremdes Motiv steckt
dahinter. Auch egal, das Spottpreis -> jener ist Entgelt und daher Bemessungsgrundlage."
"Die Gemeinde erbaut neue Wohnungen in der Sackgasse. Die Wohnungen vermietet die
Gemeinde an Mitarbeiter der Firma Hirte. Der Mietzins ist besonders niedrig, da die
Gemeinde mit der Firma Hirte einen „Deal“ hat. Hirte zahlt etwa 2 Millionen Euro pro Jahr an
die Gemeinde, was ungefähr 30% des Mietzinses abdeckt. Beraten Sie die Gemeinde mit
Blick auf die Umsatzsteuer.","1. Gemeinde: unternehmerische Tätigkeit
2. Vermietung zur Wohnzwecken: nicht steuerbefreit, ermäßigte Steuersatz
3. Bemessungsgrundlage:
Entgelt von Seiten eines Dritten: Leistung steht in Zusammenhang mit
Pro Mietzins: 30% - die zur USt Bemessungsgrundlage heranzuziehen sind"
"Die Privatperson M verkauft für € 5.000 ein impressionistisches Landschaftsgemälde an den
Kunsthändler X. Einen Monat später verkauft X dieses Gemälde an den Sammler L um €
7.400. Berechnen Sie die USt für sämtliche Umsätze.","Differenzbesteuerung
Verkauf von Privatperson an Unternehmer; Einerseits Gemälde, M aber Privatperson
Unterliegt nicht der USt mangels Unternehmerbegriff
Handeln mit Gebrauchsgegenständen: §24
Einkaufspreis weniger 
7400-5000
Dividiert durch 1,2 => 2"
"Wann ist eine Körperschaft unbeschränkt steuerpflichtig?
","Jene, die ihren Sitz oder ihre Geschäftsleistung im Inland haben"
"Wie ist das Einkommen definiert?
","Das Einkommen ist der Gesamtbetrag der Einkünfte aus den
7 Einkunftsarten des EStG, abzüglich dem Verlustausgleich,
Sonderausgaben und Freibetrag für begünstigte Zwecke."
Was ist die Mindestkörperschaftssteuer?,"Das ist die KöSt die man als Kapitalgesellschaft mindestens bezahlen muss
• GmbH: 1750€
• AG: 3500€
• Banken & Vers.: 5400€ "
"Wann wird die Beteiligungsertragsbefreiung hergenommen?
"," Wenn die Gewinn nur an Körperschaften ausgeschüttet wird. Die
Gewinnanteile der empfangenden Körperschaft sind von der KoeSt befreit.
Dadurch werden Gewinne nur bei der Gesellschaft besteuert, die sie
erwirtschaftet hat."
Wer ist von der Körperschaftssteuer betroffen?,"Juristische Personen, insbesondere Kapitalgesellschaften"
Was sind Werbungskosten?,"Alle Aufwendungen, die dazu benötigt werden meine Einnahmen zu
sichern. (ZB: Reisekosten, Pendlerpauschale, Weiterbildung)"
" Was ist das Kennzeichen einer Gesellschaft?
","Das organisierte Zusammenwirken von zwei oder mehreren Personen, die
ein gemeinsames Ziel haben."
"Was ist der Unterschied bei echten stillen Gesellschaftern und stillen
Gesellschaftern?","Echte stille sind keine Mitunternehmerschaft.
Stille sind am Gewinn beteiligt, es liegt aber Mitunternehmerschaft vor
wenn an den stillen Reserven des Unternehmens beteiligt."
"Erkläre einheitliche und gesonderte Feststellung von Gewinn
","Einheitliche Gewinnfeststellung bedeutet, dass für alle Beteiligten
die Einkünfte aus der Einkunftsquelle in einem einheitlichen Verfahren
ermittelt werden. Dies umfasst den steuerpflichtigen Gewinn der
Personengesellschaft und auch die Verteilung auf die Gesellschafter.
Bei der gesonderten Feststellung werden die Einkünfte nicht im Rahmen
der persönlichen Einkommenssteuerveranlagung, sondern in einem eigenen
Verfahren ermittelt.
Die Gewinnanteile der Gesellschafter werden dann den persönlichen
Einkommenssteuerveranlagungen zugrunde gelegt."
Wer darf die AfA abführen bei einem Leasingvertrag mit Mietklausel?,"Der Leasinggeber. Es besteht aber bei PKW und Kombi nur eine 8
jährige Nutzungsdauer um Missbrauch vorzubeugen."
Was ist ein Freibetrag für investierte Gewinne?,"Natürliche Personen, die ihre Gewinnermittlung durch
Einnahmen-Ausgaben-Rechnung ermitteln können bis zu 10% (max jedoch
100.000 EUR) als Freibetrag für investierte Gewinne gewinnmindernt
geltend machen. Vorraussetzung ist die herstellung von begünstigten
Wirtschaftsgütern."
Erkläre den Begriff Betriebseinnahmen,"Alle durch den Betrieb veranlassten Zugänge in Geld oder Sachwerten.
Sie erhöhen den Gewinn (Subventionen, Erlöse aus Warenverkäufen oder
Dienstleistungen, Versicherungsentschädigungen, Schmiergelder, ect.)"
"Was ist die AfA?
","Absetzung für Abnutzung. Die Anschaffungs- od. Herstellungskosten von
abnutzbaren Wirtschaftsgütern des Anlagevermögens dürfen nicht im
Zeitpunkt der Zahlung zur Gänze als Betriebsausgabe geltend gemacht
werden. Sie müssen linear auf ihre betriebsgewöhnliche Nutzungsdaür
verteilt abgeschrieben werden."
Was ist der Unterschied zwischen Ganzjahres und Halbjahresabschreibung?,"Wird das Wirtschaftsgut im Jahr der Anschaffung bzw Veräusserung nicht
mehr als 6 Monate betrieblich genutzt, kann nur die Hälfte des
jährlichen AfA Betrages abgesetzt werden (Halbjahres AfA). Ansonsten
wird der reguläre Betrag abgeschrieben."
Was sind geringwertige Wirtschaftsgüter,"Wenn die Herstellungskosten bzw. Anschaffungskosten <400€ sind.
Diese kann man sofort abschreiben."
Was sind außergewöhnliche Belastungen?,"Private Ausgaben, denen sich der Steuerpflichtige nicht entziehen kann,
und die ihrer Art und Höhe nach atypisch sind. (Kosten der
Lebensführung) Beispiele: Krankheits- u Arztkosten (wenn selbst
getragen), Mehraufwendungen aufgrund von Behinderungen,
Katastrophenschäden, Berufsausbildung oder Studium des Kindes
außerhalb des Wohnortes, unmittelbare Kosten zur Kinderbetreuung"
"Welches Problem gibt es bei der Ausschüttung des Einkommens bei der
Steuersubjektivität der Körperschaften?
","Doppelbelastung: zürst Köst in Höhe von 25 % vor der Ausschüttung an
natürlichen Personen, im Zeitpunkt der Ausschüttung an natürlichen
Personen Steuerbelastung in Höhe von 25% KEst, ODER dem halben ESt!"
"Was ist Liebhaberei?
","Liebhaberei umfasst Jux und Tollerei, Privatvergnügen ect. aber
jedenfalls NICHT Tätigkeiten, die gewerblich ausgeführt werden. (zB
gelegentl. Vermietung der Ferienwohnung, auch wenn sie Verluste
bringt) Während Verluste aus einer Einkunftsart steuerlich anerkannt
werden (kürzen das Einkommen), darf steuerliche Liebhaberei nicht mit
anderen Einkünften ausgeglichen werden."
"Beschreibe die Endbesteuerung/ Kapitalertragssteuer.
","Ist ebenfalls Erhebungsform der Einkommenssteuer, 25% Steuer auf
inländische Kapitalerträge. Endbesteuerung: Mit der Einbehaltung u.
Abfuhr der KESt ist die sog. Endbesteuerung verbunden, dh diese müssen
nicht mehr in die Einkommenssteuererklärung aufgenommen werden."
Definiere Wohnsitz:,"Hat jemand dort wo er eine Wohnung innehat und diese auch benützt.
Maßgeblich ist die Schlüsselgewalt. Wer bestimmen kann wer kommen
und gehen darf hat die Schlüsselgewalt. Womit auch Ferienwohnungen
ein Wohnsitz sein können!"
"Schema Einkommenssteuerermittlung:
","Gesamtbetrag der Einkünfte = Sigma(Einkunftsarten) abzüglich dem
Verlustausgleich, Sonderausgaben und Freibetrag für begünstigte
Zwecke und außergewöhnliche Belastungen"
"Was sind Stiftungen?
","Eine Stiftung ist eine Einrichtung, die mit Hilfe eines Vermögens
einen vom Stifter festgelegten Zweck verfolgt. Dabei wird in der Regel
das Vermögen auf Dauer erhalten, und es werden nur die Erträge für den
Zweck verwendet."
Wie sieht der Rechtszug im Abgabenverfahren seit 1.1.14 aus?,"Ein Bescheid des FA kann mit einer Beschwerde an das Bundesfinanzgericht BFG bekämpft werden.
Das FA kann über eingebrachte Beschwerden idR mit einer Beschwerdevorentscheidung entscheiden
und so Fehler rasch korrigieren. Der Abgabepflichtige kann nach einer Beschwerdevorentscheidung
die Vorlage seiner Beschwerde an das BFG beantragen (Vorlageantrag). Eine Erkenntnis des BFG
kann vom Abgabepflichtgen oder/und vom FA/ZA mit einer Revision an den Verwaltungsgerichtshof
nach Art 133 B-VG oder/und mit einer Beschwerde an den Verfassungsgerichtshof nach Art 144 B-VG
bekämpft werden."
Was sind Auslandsurkunden?,"Wird eine Urkunde im Ausland (nicht in Ö) errichtet, so entsteht nach §16 dennoch eine
Gebührenschuld in Ö. 1. Wenn die Vertragsparteien in Österreich ansässig sind, und das
Rechtsgeschäft eine in Ö befindliche Sache betrifft oder eine Leistungspflicht in Ö besteht."
Was sind die Vorteile in der laufenden Besteuerung?,"Privatstiftungen genießen vier Vorteile in der laufenden Besteuerung:
 Die KESt-Befreiung nach 394 Z 12 EStG
 Die Befreiung von der ImmoESt nach §24 Abs 3 Z 4 KStG: 25% KöSt im Veranlagungsverfahren
statt ImmoESt nach §30b und c EStG
 Die Übertragung stiller Reserven bei Beteiligungsveräußerungen nach 313 Abs 4 KSTG
 Die Beteiligungsertragsbefreiung für Ausschüttungen nach 310 KStG"
Was ist im Fall eines Mantelkaufs?,"Im Falle eines Mantelkaufes geht der Verlustabzug verloren. Ein solcher liegt vor, wenn die Identität
einer Körperschaft infolge einer wesentlichen Änderung der Organisatorischen und Wirtschaftlichen Struktur im Zusammenhang mit einer wesentlichen entgeltlichen Änderung der Gesellschafterstruktur nach dem Gesamtbild der Verhältnisse nicht mehr gegeben ist."
"Was ist die Gruppenbesteuerung?
","Grds ist jede Körperschaft ein selbständiges Steuersubjekt. §9 durchbricht diese Einzelbesteuerung
und lässt die Saldierung von Gewinnen und Verlusten innerhalb von Unternehmensgruppen zu."
Wie läuft dabei die individuelle Gewinnermittlung ab?,"Das steuerliche Ergebnis wird zunächst für jedes Gruppenmitglied individuell ermittelt und
festgestellt §24a Abs 1. Die individuell ermittelten GuV werden beim Gruppenträger
zusammengefasst und bei diesem besteuert. Ist der Gruppenträger keine Körperschaft sondern eine
Beteiligungsgemeinschaft so wird das konsolidierte Ergebnis anteilig den beteiligten Körperschaften
zu Besteuerung zugerechnet."
Wie ist es mit Ausschüttungen von Ö ins Ausland?,"Eine österr. GmbH schüttet an eine seit einem Jahr zu 10% beteiligter deutscher GmbH aus. Nach 394
Z 2 EStG ist in Ö keine KESt einzubehalten. Wenn die Beteiligung nur bei 5% liegt ermäßigt sich die
KESt auf 15% wenn Deutschland dieses nicht anrechnet darf Ö keine KEst einbehalten. Bei zu 25%
beteiligt an Schweizer AG – österr. Hat theoretisch KEsT einzubehalten aber ein DBA senkt sie auf 0%."
Was ist die Beteiligungsertragsbefreiung/Schachtelbefreiung §10?,"Erwirtschaftet eine GmbH Gewinne, so sind diese zunächst mit 25% KöSt zu belasten. Wird an eine
natürliche Person ausgeschüttet, so sind 27,5% KESt einzubehalten. KöSt und KESt führen zu einer
Gesamtbelastung von 45,63%. Wird an eine andere GmbH ausgeschüttet, so käme es zu einer
Ertragsteuerkumulation: Mangels Endbesteuerung von Kapitalgesellschaften fiele nochmals KöSt von
25% auf der Ebene der beteiligten Gesellschaft an. Die kumulierte Steuerlast würde auf 29,22%
ansteigen und wäre somit höher als der höchste Grenzsteuersatz von 55% in der ESt. Um derartige
Kumulationen bei ineinander verflochtenen Körperschaften zu vermeiden, stellt die
Beteiligungsertragsbefreiung Ausschüttungen an andere Körperschaften weitgehend
ertragssteuerfrei."
Wann beginnt und endet die Steuerpflicht §4?,"Die KöSt setzt bereits ein, wenn die gesellschaftsvertragliche Grundlage (Gesellschaftsvertrag,
Satzung, Statuten, Stiftungsbrief) festgestellt ist und die Gesellschaft als solche erstmalig nach außen
in Erscheinung tritt. Das ist idR schon vor der Eintragung im FB der Fall: Nach Auffassung des VwGH genügt die Eröffnung eines Bankkontos. Die KöSt-Pflicht endet mit dem Untergang der
Personenqualität oder dem späteren Abschluss der Liquidation. Die
Mindestkörperschaftsteuerpflicht endet mit der Löschung im FB mit dem der Löschung
vorangehenden Quartal."
Auf welche 3 Arten kann der Grundstückswert bewertet werden?," Summe des hochgerechneten dreifachen Bodenwertes nach §53 Abs. 2 BewG und des
Gebäudewertes.
Ein von einem Immopreisspiegel abgeleiteter Wert.
Ein nachgewiesener geringerer gemeiner Wert durch ein Schätzgutachten."
Was dient als Ersatz- und Mindestbemessungsgrundlage?,"Der Grundstückswert nach §4 Abs. 1 dient der Grunderwerbsteuer als Ersatzbemessungsgrundlage
bei unentgeltlichem Erwerb. Liegt die Gegenleistung unter dem Grundstückswert, so greift der
Grundstückswert als Mindestbemessungsgrundlage nach §4 Abs. 1. Der Grundstückswert ist nach §4
Abs. 1 ein spezieller Wert, der auf drei Arten berechnet werden kann."
Was ist der Steuergegenstand der GrESt?,"Steuergegenstand ist der Rechtsverkehr mit inländischen Grundstücken: Entgeltliche und
unentgeltliche Erwerbe werden besteuert. Kauf, Tausch, und Schenkung unter Lebenden werden
ebenso besteuert wie Erwerbe von Todes wegen."
Was ist die Erwerbsschwelle?,"Der Gesamtbetrag der Entgelte für ig Erwerbe darf im Vorjahr 11.000€ nicht überschritten haben und
im laufenden Jahr noch nicht überschreiten.
Wird die Erwerbsschwelle nicht überschritten, werden Schwellenerwerber EU-Konsumenten
gleichgestellt. Es gilt dann das Ursprungslandprinzip. Wird die Erwerbsschwelle überschritten so
kommt es zu einem Quantensprung in der rechtlichen Beurteilung: Der Schwellenerwerber wird dann
im ig Handel einen EU-Unternehmer gleichgestellt. Die Erwerbsschwelle gilt nicht für
verbrauchersteuerpflichtige Waren und neue Fahrzeuge. Hier gilt stets das Bestimmungslandprinzip."
Was sind echte Umsatzsteuerbefreiungen mit Vorsteuerabzug?,"Echte Umsatzsteuerbefreiungen sind solche, bei denen der Vorsteuerabzug nicht verloren geht:
Ausfuhren/Exportlieferungen in ein Drittland sind nach §7 UStG von der USt befreit. Der Exporteur
hat dennoch den vollen Vorsteuerabzug. Ziel dieser echten Umsatzsteuerbefreiung mit
Vorsteuerabzug ist, den Konsum in Drittländern nicht mit österr. USt zu belasten."
Was ist die Grundregel für den Vollen Vorsteuerabzug?,"Lieferung und sonstige Leistungen sowie die Einfuhr gelten als ausgeführt wenn sie für Zwecke des U
erfolgen und wenn sie zu mind. 10% unternehmerischen Zwecken dienen. Die Grundregel lautet also:
Ab 10% unternehmerischer Nutzung steht der volle Vorsteuerabzug zu. §12 Abs. 2.
Bsp.: Eine Waschmaschine"
"Was ist beim Vorsteuerabzug für Eigenverbrauch zu beachten?
","Ein Ausschluss vom Vorsteuerabzug oder von der Unternehmenssphäre schließt einen
steuerpflichtigen Eigenverbrauch aus. Wird etwas ohne Vorsteuerabzug erworben ist es also
automatisch kein Eigenverbrauch mehr falls das Produkt dann für Private Zwecke eingesetzt wird."
Wie geht man mit Leasing um? Miete oder Kauf?,"Miete und kauf sind in der Ust zu unterscheiden. Im Fall eines Kaufes liegt eine Lieferung vor, im Fall
einer Miete eine sonstige Leistung. Nach EuGH sind Operating Leasing und Finanzierungsleasing zu
unterscheiden. Maßgebend ist ob der Leasingvertrag darauf abzielt, das wirtschaftliche Eigentum
dem Leasingnehmer zu verschaffen. Indizien sind,
 Wer Chancen und Risiken zu tragen hat,
 Ob der Barwert der Leasingrate dem Verkehrswert des Leasinggutes entspricht,
 Ob am Ende der Laufzeit der Leasingnehmer das Eigentum am Leasinggut erhalten soll
(Kaufoption)."
Sind Zinseinnahmen eine wirtschaftliche Tätigkeit?,"Aus der Veranlagung eigenen Vermögens sind sie nicht wirtschaftliche Tätigkeiten. Außer es liegt
einer der folgenden Fälle vor:
 Bein Banken/Kreditinstituten
 Bei Holdinggesellschaften oder Finanzierungsgesellschaften im Konzern
 Bei der geschäftlichen/beruflichen Verwaltung von Fremdgeldern
ABER – Zinserträge sind (unecht) steuerbefreit da Geld ein Zahlungsmittel und kein Konsumgut ist."
Wie werden Unternehmensgewinne aufgeteilt?,"Nach dem Betriebstättenprinzip: Jeder Vertragsstaat besteuert die Gewinne aus Betreibsstätten
seines Territoriums. Die Betriebsstätten werden im grenzüberschreitenden Leistungsaustausch
untereinander als selbständige Unternehmer gesehen, leistungs- und funktionsangemessene
Verrechnungspreise werden im Leistungsaustausch über die Grenze wie bei einander fremden
Unternehmen unterstellt (arm´s length- Prinzip; Funktionsnutzenkonzept)"
Was sind Mitunternehmerschaften?,"Mitunternehmerschaften sind betrieblich tätige Personengesellschaften oder ähnliche
Personengemeinschaften. Für Personengesellschafter gilt das Durchgriffsprinzip, für
Kapitalgesellschaften gilt das Trennungsprinzip. Bei der Mitunternehmerschaft stellt sich die Frage,
wann eine als Mitunternehmerschaft zu erfassende Personenmehrheit vorliegt und wann völlig
selbständig und getrennt zu erfassende Einzelunternehmen Leistungen austauschen."
Was ist Fruchtgenuss?,"Die Fruchtnießung ist das Recht, eine fremde Sache mit Schonung der Substanz ohne alle
Einschränkung zu genießen. Das zivilrechtliche und wirtschaftliche Eigentum bleibt beim
Fruchtgenussbesteller. Erzielt der wirtschaftliche Eigentümer Einkünfte aus der Fruchtgenusssache,
so kann er die AfA abziehen. Erzielt er jedoch keine Einkünfte, so geht die AfA mangels
Einkunftserzielung verloren. Die Lehre lässt dagegen in solchen Fällen die AfA beim
Fruchtgenussberechtigten als Drittaufwand zu: Drittaufwand ist geschenkter Aufwand; Das BMF lässt
die AfA beim Fruchtnießer nur in einem engen Rahmen zu"
Erkläre Realisations- und Imparitätsprinzip?,"Sie entspringen dem Konzept der relativen Sicherheit. Gewinne werden deshalb nicht schon mit
Vertragsabschluss realisiert. Nach dem Imparitätsprinzip sind ernsthaft drohende Verluste aus
schwebenden Geschäften (solange der Sachleistverpflichtete nicht geleistet hat) und andere
ernsthaft drohende Risiken rückzustellen. Nach dem Vorsichtsprinzip sind Aktiva eher niedrig und
Schulden, Rückstellungen und passive RAP eher hoch anzusetzen. Dem Realisationsprinzip entspricht
es, Vermögensumschichtungen erfolgsneutral auszuweisen."
Was sind Sonderausgaben?,"§18 beinhaltet unterschiedliche Aufwendungen. Einmalzahlungen könne zur Gänze im Abflussjahr
oder auf Antrag verteilt auf 10 Jahre abgesetzt werden. Bsp: 400€ Kirchenbeitrag sind abzugsfähig.
Steuerberatungskosten sind abzugsfähig. Förderung von Forschung, Kunst und Kultur sowie Spenden
für begünstigte Zwecke ist eine Sonderausgabe nach §18."
Was ist im Fall einer Regelbesteuerung?,"Kein Abzugsverbot – wird nach §30a Abs. 2 zur Regelbesteuerung optiert so ist der lineare Steuersatz
nach §30a nicht anwendbar sondern der Normaltarif nach §33. Die Steuerreform stellt dies in §20
Abs. 2 ausdrücklich klar."
Was sind Einkünfte aus nichtselbständiger Arbeit?,"sind AN (schulden Arbeitskraft, sind weisungsgebunden, organisatorisch eingebunden, sind zu Treue
und Sorgfalt verpflichtet). Löhne und Gehälter sind mit Lohnsteuer §§47 ff EStG,
Sozialversicherungsbeiträgen und Lohnnebenkosten zu belasten. Nichtselbständige genießen eine
begünstigte Besteuerung des 13. Und 14. Monatsbezuges mit 6% Fixsteuersatz statt mit bis zu 55%
ESt. In §68 EStG sind ebenfalls Begünstigungen beschrieben."
Was sind Einkünfte aus Kapitalvermögen?,"Früchte und Substanz sind ertragsteuerpflichtig. Das gilt ab 1.4.12 auch im Privatvermögen. §27
unterscheidet drei Kategorien von Einkünften aus Kapitalvermögen:
 Einkünfte aus der Überlassung von Kapital (Ausschüttung aus Kapitalgesellschatten, Bezüge
aus Genossenschaften, Bezüge aus Agrargemeinschaften, Zinsen und andere Erträge, …..
 Einkünfte aus realisierten Wertsteigerungen
 Einkünfte aus Derivaten"
Was sind Steuern?,"Das sind Geldleistungen, die einer Gebietskörperschaft zufließen und aufgrund öffentlichen Rechts
geschuldet und eingebracht werden. Die öffentliche Hand kassiert Steuern zum Wohle der
Allgemeinheit (bonum commune)"
