model,id,n_citations,n_grounded,n_hallucinated,n_out_of_scope
Model1_API_Llama70B,EMP-030,2,2,0,0
Model1_API_Llama70B,EMP-031,3,3,0,0
Model1_API_Llama70B,EMP-032,6,6,0,0
Model1_API_Llama70B,EMP-033,3,3,0,0
Model1_API_Llama70B,EMP-034,3,3,0,0
Model1_API_Llama70B,EMP-035,2,2,0,0
Model1_API_Llama70B,EMP-036,5,5,0,0
Model1_API_Llama70B,EMP-037,2,2,0,0
Model1_API_Llama70B,EMP-038,3,3,0,0
Model1_API_Llama70B,EMP-039,4,4,0,0
Model1_API_Llama70B,EMP-040,3,3,0,0
Model1_API_Llama70B,EMP-041,2,2,0,0
Model1_API_Llama70B,EMP-042,3,3,0,0
Model1_API_Llama70B,EMP-043,3,3,0,0
Model1_API_Llama70B,EMP-044,2,2,0,0
Model1_API_Llama70B,EMP-045,3,3,0,0
Model1_API_Llama70B,EMP-046,2,2,0,0
Model1_API_Llama70B,EMP-047,2,2,0,0
Model1_API_Llama70B,EMP-048,3,3,0,0
Model1_API_Llama70B,EMP-049,3,3,0,0
Model1_API_Llama70B,EMP-050,2,2,0,0
Model1_API_Llama70B,EMP-051,3,3,0,0
Model1_API_Llama70B,EMP-052,2,2,0,0
Model1_API_Llama70B,EMP-053,2,2,0,0
Model1_API_Llama70B,EMP-054,3,3,0,0
Model1_API_Llama70B,EMP-055,3,3,0,0
Model1_API_Llama70B,EMP-056,2,2,0,0
Model1_API_Llama70B,EMP-057,2,2,0,0
Model1_API_Llama70B,EMP-058,2,2,0,0
Model1_API_Llama70B,EMP-059,3,3,0,0
Model1_API_Llama70B,EMP-060,2,2,0,0
Model1_API_Llama70B,EStG-23-001,5,5,0,0
Model1_API_Llama70B,EStG-23-002,3,3,0,0
Model1_API_Llama70B,EStG-23-003,4,4,0,0
Model1_API_Llama70B,EStG-23-004,3,3,0,0
Model1_API_Llama70B,EStG-23-005,4,4,0,0
Model1_API_Llama70B,EStG-23-006,4,4,0,0
Model1_API_Llama70B,EStG-23-007,4,4,0,0
Model1_API_Llama70B,EStG-23-008,3,2,0,1
Model1_API_Llama70B,EStG-23-009,4,4,0,0
Model1_API_Llama70B,EStG-23-010,3,3,0,0
Model1_API_Llama70B,EStG-23-011,3,3,0,0
Model1_API_Llama70B,EStG-23-012,3,3,0,0
Model1_API_Llama70B,EStG-23-013,2,2,0,0
Model1_API_Llama70B,EStG-23-014,3,3,0,0
Model1_API_Llama70B,EStG-23-015,4,4,0,0
Model1_API_Llama70B,EStG-23-016,4,4,0,0
Model1_API_Llama70B,EStG-23-017,2,2,0,0
Model1_API_Llama70B,EStG-23-018,2,2,0,0
Model1_API_Llama70B,EStG-23-019,4,4,0,0
Model1_API_Llama70B,EStG-23-020,4,4,0,0
Model1_API_Llama70B,EStG-23-021,3,3,0,0
Model1_API_Llama70B,EStG-23-022,3,3,0,0
Model1_API_Llama70B,EStG-23-023,3,3,0,0
Model1_API_Llama70B,EStG-23-024,3,3,0,0
Model1_API_Llama70B,EStG-23-025,3,3,0,0
Model1_API_Llama70B,EStG-23-026,3,3,0,0
Model1_API_Llama70B,EStG-23-027,4,4,0,0
Model1_API_Llama70B,EStG-23-028,4,4,0,0
Model1_API_Llama70B,EStG-23-029,6,6,0,0
Model1_API_Llama70B,EStG-23-030,6,5,0,1
Model1_API_Llama70B,EStG-23-031,4,4,0,0
Model1_API_Llama70B,EStG-23-032,8,8,0,0
Model1_API_Llama70B,EStG-23-033,5,5,0,0
Model1_API_Llama70B,EStG-23-034,4,3,0,1
Model1_API_Llama70B,EStG-23-035,5,5,0,0
Model1_API_Llama70B,EStG-23-036,2,2,0,0
Model1_API_Llama70B,EStG-23-037,3,1,0,2
Model1_API_Llama70B,EStG-23-038,3,2,0,1
Model1_API_Llama70B,EStG-23-039,3,1,0,2
Model1_API_Llama70B,EStG-23-040,4,2,0,2
Model1_API_Llama70B,EStG-23-041,3,3,0,0
Model1_API_Llama70B,EStG-23-042,3,0,0,3
Model1_API_Llama70B,EStG-23-043,2,2,0,0
Model1_API_Llama70B,EStG-23-044,2,2,0,0
Model1_API_Llama70B,EStG-23-045,3,2,0,1
Model1_API_Llama70B,EStG-23-046,4,4,0,0
Model1_API_Llama70B,EStG-23-047,4,4,0,0
Model1_API_Llama70B,EStG-23-048,3,2,0,1
Model1_API_Llama70B,EStG-23-049,2,2,0,0
Model1_API_Llama70B,EStG-23-050,3,2,0,1
Model1_API_Llama70B,EStG-23-051,3,0,0,3
Model1_API_Llama70B,EStG-23-052,5,5,0,0
Model1_API_Llama70B,EStG-23-053,3,2,0,1
Model1_API_Llama70B,EStG-23-054,3,3,0,0
Model1_API_Llama70B,EStG-23-055,2,2,0,0
Model1_API_Llama70B,EStG-23-056,2,0,0,2
Model1_API_Llama70B,EStG-23-057,2,2,0,0
Model1_API_Llama70B,EStG-23-058,3,2,0,1
Model1_API_Llama70B,EStG-23-059,4,4,0,0
Model1_API_Llama70B,EStG-23-060,4,4,0,0
Model1_API_Llama70B,SELF-001,2,2,0,0
Model1_API_Llama70B,SELF-002,1,1,0,0
Model1_API_Llama70B,SELF-003,2,2,0,0
Model1_API_Llama70B,SELF-004,2,2,0,0
Model1_API_Llama70B,SELF-005,0,0,0,0
Model1_API_Llama70B,SELF-006,4,3,0,1
Model1_API_Llama70B,SELF-007,4,4,0,0
Model1_API_Llama70B,SELF-008,3,3,0,0
Model1_API_Llama70B,SELF-009,2,2,0,0
Model1_API_Llama70B,SELF-010,3,3,0,0
Model1_API_Llama70B,SELF-011,4,4,0,0
Model1_API_Llama70B,SELF-012,3,3,0,0
Model1_API_Llama70B,SELF-013,2,0,0,2
Model1_API_Llama70B,SELF-014,4,4,0,0
Model1_API_Llama70B,SELF-015,0,0,0,0
Model1_API_Llama70B,SELF-016,2,2,0,0
Model1_API_Llama70B,SELF-017,0,0,0,0
Model1_API_Llama70B,SELF-018,1,0,0,1
Model1_API_Llama70B,SELF-019,4,0,0,4
Model1_API_Llama70B,SELF-020,0,0,0,0
Model1_API_Llama70B,SELF-021,3,3,0,0
Model1_API_Llama70B,SELF-022,0,0,0,0
Model1_API_Llama70B,SELF-023,0,0,0,0
Model1_API_Llama70B,SELF-024,5,3,0,2
Model1_API_Llama70B,SELF-025,2,0,0,2
Model1_API_Llama70B,SELF-026,5,5,0,0
Model1_API_Llama70B,SELF-027,0,0,0,0
Model1_API_Llama70B,SELF-028,1,1,0,0
Model1_API_Llama70B,SELF-029,2,2,0,0
Model1_API_Llama70B,SELF-030,2,2,0,0
Model1_API_Llama70B,SELF-031,0,0,0,0
Model1_API_Llama70B,SELF-032,1,1,0,0
Model1_API_Llama70B,SELF-033,3,3,0,0
Model1_API_Llama70B,SELF-034,3,3,0,0
Model1_API_Llama70B,SELF-035,0,0,0,0
Model1_API_Llama70B,SELF-036,6,6,0,0
Model1_API_Llama70B,SELF-037,1,1,0,0
Model1_API_Llama70B,SELF-038,1,1,0,0
Model1_API_Llama70B,SELF-039,3,0,0,3
Model1_API_Llama70B,SELF-040,3,3,0,0
Model1_API_Llama70B,SELF-041,8,8,0,0
Model1_API_Llama70B,SELF-042,4,4,0,0
Model1_API_Llama70B,SELF-043,3,3,0,0
Model1_API_Llama70B,SELF-044,8,8,0,0
Model1_API_Llama70B,SELF-045,9,9,0,0
Model1_API_Llama70B,SELF-046,3,3,0,0
Model1_API_Llama70B,SELF-047,2,0,0,2
Model1_API_Llama70B,SELF-048,2,1,0,1
Model1_API_Llama70B,SELF-049,3,0,0,3
Model1_API_Llama70B,SELF-050,0,0,0,0
Model1_API_Llama70B,SELF-051,0,0,0,0
Model1_API_Llama70B,SELF-052,2,0,0,2
Model1_API_Llama70B,SELF-053,2,0,0,2
Model1_API_Llama70B,SELF-054,4,4,0,0
Model1_API_Llama70B,SELF-055,6,6,0,0
Model1_API_Llama70B,SELF-056,6,6,0,0
Model1_API_Llama70B,SELF-057,4,4,0,0
Model1_API_Llama70B,SELF-058,4,4,0,0
Model1_API_Llama70B,SELF-059,2,2,0,0
Model1_API_Llama70B,SELF-060,4,4,0,0
Model1_API_Llama70B,SELF-061,6,0,0,6
Model1_API_Llama70B,SELF-062,3,0,0,3
Model1_API_Llama70B,SELF-063,3,3,0,0
Model1_API_Llama70B,SELF-064,0,0,0,0
Model1_API_Llama70B,SELF-065,2,2,0,0
Model1_API_Llama70B,SELF-066,2,2,0,0
Model1_API_Llama70B,SELF-067,1,1,0,0
Model1_API_Llama70B,SELF-068,2,2,0,0
Model1_API_Llama70B,SELF-069,0,0,0,0
Model1_API_Llama70B,SELF-070,3,0,0,3
Model1_API_Llama70B,SELF-071,5,5,0,0
Model1_API_Llama70B,SELF-072,1,1,0,0
Model1_API_Llama70B,SELF-073,2,2,0,0
Model1_API_Llama70B,SELF-074,3,3,0,0
Model1_API_Llama70B,SELF-075,4,4,0,0
Model1_API_Llama70B,SELF-076,2,2,0,0
Model1_API_Llama70B,SELF-077,4,4,0,0
Model1_API_Llama70B,SELF-078,1,1,0,0
Model1_API_Llama70B,SELF-079,2,2,0,0
Model1_API_Llama70B,SELF-080,5,3,0,2
Model1_API_Llama70B,SELF-081,2,0,0,2
Model1_API_Llama70B,SELF-082,3,3,0,0
Model2_Finetuned_Gemma2B,CORP-TAX-001,0,0,0,0
Model2_Finetuned_Gemma2B,CORP-TAX-002,0,0,0,0
Model2_Finetuned_Gemma2B,CORP-TAX-003,0,0,0,0
Model2_Finetuned_Gemma2B,CORP-TAX-004,0,0,0,0
Model2_Finetuned_Gemma2B,CORP-TAX-005,0,0,0,0
Model2_Finetuned_Gemma2B,CORP-TAX-006,0,0,0,0
Model2_Finetuned_Gemma2B,CORP-TAX-007,0,0,0,0
Model2_Finetuned_Gemma2B,CORP-TAX-008,0,0,0,0
Model2_Finetuned_Gemma2B,CORP-TAX-009,1,0,1,0
Model2_Finetuned_Gemma2B,CORP-TAX-010,0,0,0,0
Model2_Finetuned_Gemma2B,CORP-TAX-011,2,2,0,0
Model2_Finetuned_Gemma2B,CORP-TAX-012,0,0,0,0
Model2_Finetuned_Gemma2B,CORP-TAX-013,6,6,0,0
Model2_Finetuned_Gemma2B,CORP-TAX-014,0,0,0,0
Model2_Finetuned_Gemma2B,CORP-TAX-015,1,1,0,0
Model2_Finetuned_Gemma2B,CORP-TAX-016,0,0,0,0
Model2_Finetuned_Gemma2B,CORP-TAX-017,4,4,0,0
Model2_Finetuned_Gemma2B,CORP-TAX-018,0,0,0,0
Model2_Finetuned_Gemma2B,CORP-TAX-019,2,1,0,1
Model2_Finetuned_Gemma2B,CORP-TAX-020,0,0,0,0
Model2_Finetuned_Gemma2B,CORP-TAX-021,1,0,1,0
Model2_Finetuned_Gemma2B,CORP-TAX-022,7,7,0,0
Model2_Finetuned_Gemma2B,CORP-TAX-023,0,0,0,0
Model2_Finetuned_Gemma2B,CORP-TAX-024,0,0,0,0
Model2_Finetuned_Gemma2B,CORP-TAX-025,1,1,0,0
Model2_Finetuned_Gemma2B,CORP-TAX-026,5,5,0,0
Model2_Finetuned_Gemma2B,CORP-TAX-027,2,2,0,0
Model2_Finetuned_Gemma2B,CORP-TAX-028,0,0,0,0
Model2_Finetuned_Gemma2B,CORP-TAX-029,2,0,2,0
Model2_Finetuned_Gemma2B,CORP-TAX-030,1,1,0,0
Model2_Finetuned_Gemma2B,CORP-TAX-031,0,0,0,0
Model2_Finetuned_Gemma2B,CORP-TAX-032,1,0,1,0
Model2_Finetuned_Gemma2B,CORP-TAX-033,0,0,0,0
Model2_Finetuned_Gemma2B,CORP-TAX-034,0,0,0,0
Model2_Finetuned_Gemma2B,CORP-TAX-035,0,0,0,0
Model2_Finetuned_Gemma2B,CORP-TAX-036,2,2,0,0
Model2_Finetuned_Gemma2B,CORP-TAX-037,4,4,0,0
Model2_Finetuned_Gemma2B,CORP-TAX-038,2,2,0,0
Model2_Finetuned_Gemma2B,CORP-TAX-039,1,1,0,0
Model2_Finetuned_Gemma2B,CORP-TAX-040,0,0,0,0
Model2_Finetuned_Gemma2B,CORP-TAX-041,0,0,0,0
Model2_Finetuned_Gemma2B,CORP-TAX-042,1,1,0,0
Model2_Finetuned_Gemma2B,CORP-TAX-043,6,6,0,0
Model2_Finetuned_Gemma2B,CORP-TAX-044,4,4,0,0
Model2_Finetuned_Gemma2B,CORP-TAX-045,2,2,0,0
Model2_Finetuned_Gemma2B,CORP-TAX-046,6,6,0,0
Model2_Finetuned_Gemma2B,CORP-TAX-047,0,0,0,0
Model2_Finetuned_Gemma2B,CORP-TAX-048,1,1,0,0
Model2_Finetuned_Gemma2B,CORP-TAX-049,0,0,0,0
Model2_Finetuned_Gemma2B,CORP-TAX-050,0,0,0,0
Model2_Finetuned_Gemma2B,CORP-TAX-051,3,3,0,0
Model2_Finetuned_Gemma2B,CORP-TAX-052,0,0,0,0
Model2_Finetuned_Gemma2B,CORP-TAX-053,0,0,0,0
Model2_Finetuned_Gemma2B,CORP-TAX-054,0,0,0,0
Model2_Finetuned_Gemma2B,CORP-TAX-055,1,1,0,0
Model2_Finetuned_Gemma2B,CORP-TAX-056,0,0,0,0
Model2_Finetuned_Gemma2B,CORP-TAX-057,3,2,1,0
Model2_Finetuned_Gemma2B,CORP-TAX-058,1,0,1,0
Model2_Finetuned_Gemma2B,CORP-TAX-059,2,2,0,0
Model2_Finetuned_Gemma2B,CORP-TAX-060,1,1,0,0
Model2_Finetuned_Gemma2B,TAX-INTL-001,0,0,0,0
Model2_Finetuned_Gemma2B,TAX-INTL-002,2,0,2,0
Model2_Finetuned_Gemma2B,TAX-INTL-003,1,0,1,0
Model2_Finetuned_Gemma2B,TAX-INTL-004,0,0,0,0
Model2_Finetuned_Gemma2B,TAX-INTL-005,1,1,0,0
Model2_Finetuned_Gemma2B,TAX-INTL-006,4,4,0,0
Model2_Finetuned_Gemma2B,TAX-INTL-007,0,0,0,0
Model2_Finetuned_Gemma2B,TAX-INTL-008,0,0,0,0
Model2_Finetuned_Gemma2B,TAX-INTL-009,0,0,0,0
Model2_Finetuned_Gemma2B,TAX-INTL-010,0,0,0,0
Model2_Finetuned_Gemma2B,TAX-INTL-011,0,0,0,0
Model2_Finetuned_Gemma2B,TAX-INTL-012,1,1,0,0
Model2_Finetuned_Gemma2B,TAX-INTL-013,0,0,0,0
Model2_Finetuned_Gemma2B,TAX-INTL-014,0,0,0,0
Model2_Finetuned_Gemma2B,TAX-INTL-015,2,2,0,0
Model2_Finetuned_Gemma2B,TAX-INTL-016,0,0,0,0
Model2_Finetuned_Gemma2B,TAX-INTL-017,1,1,0,0
Model2_Finetuned_Gemma2B,TAX-INTL-018,1,0,1,0
Model2_Finetuned_Gemma2B,TAX-INTL-019,0,0,0,0
Model2_Finetuned_Gemma2B,TAX-INTL-020,2,1,1,0
Model2_Finetuned_Gemma2B,TAX-INTL-021,4,4,0,0
Model2_Finetuned_Gemma2B,TAX-INTL-022,4,4,0,0
Model2_Finetuned_Gemma2B,TAX-INTL-023,3,3,0,0
Model2_Finetuned_Gemma2B,TAX-INTL-024,1,1,0,0
Model2_Finetuned_Gemma2B,TAX-INTL-025,0,0,0,0
Model2_Finetuned_Gemma2B,TAX-INTL-026,0,0,0,0
Model2_Finetuned_Gemma2B,TAX-INTL-027,0,0,0,0
Model2_Finetuned_Gemma2B,TAX-INTL-028,0,0,0,0
Model2_Finetuned_Gemma2B,TAX-INTL-029,4,4,0,0
Model2_Finetuned_Gemma2B,TAX-INTL-030,4,4,0,0
Model2_Finetuned_Gemma2B,TAX-INTL-031,0,0,0,0
Model2_Finetuned_Gemma2B,TAX-INTL-032,6,6,0,0
Model2_Finetuned_Gemma2B,TAX-INTL-033,1,1,0,0
Model2_Finetuned_Gemma2B,TAX-INTL-034,2,2,0,0
Model2_Finetuned_Gemma2B,TAX-INTL-035,0,0,0,0
Model2_Finetuned_Gemma2B,TAX-INTL-036,0,0,0,0
Model2_Finetuned_Gemma2B,TAX-INTL-037,0,0,0,0
Model2_Finetuned_Gemma2B,TAX-INTL-038,1,0,1,0
Model2_Finetuned_Gemma2B,TAX-INTL-039,0,0,0,0
Model2_Finetuned_Gemma2B,TAX-INTL-040,0,0,0,0
Model2_Finetuned_Gemma2B,TAX-INTL-041,0,0,0,0
Model2_Finetuned_Gemma2B,TAX-INTL-042,0,0,0,0
Model2_Finetuned_Gemma2B,TAX-INTL-043,0,0,0,0
Model2_Finetuned_Gemma2B,TAX-INTL-044,0,0,0,0
Model2_Finetuned_Gemma2B,TAX-INTL-045,0,0,0,0
Model2_Finetuned_Gemma2B,TAX-INTL-046,2,2,0,0
Model2_Finetuned_Gemma2B,TAX-INTL-047,1,0,1,0
Model2_Finetuned_Gemma2B,TAX-INTL-048,0,0,0,0
Model2_Finetuned_Gemma2B,TAX-INTL-049,0,0,0,0
Model2_Finetuned_Gemma2B,TAX-INTL-050,3,0,3,0
Model2_Finetuned_Gemma2B,TAX-INTL-051,0,0,0,0
Model2_Finetuned_Gemma2B,TAX-INTL-052,4,1,3,0
Model2_Finetuned_Gemma2B,TAX-INTL-053,0,0,0,0
Model2_Finetuned_Gemma2B,TAX-INTL-054,0,0,0,0
Model2_Finetuned_Gemma2B,TAX-INTL-055,3,2,1,0
Model2_Finetuned_Gemma2B,TAX-INTL-056,0,0,0,0
Model2_Finetuned_Gemma2B,TAX-INTL-057,1,1,0,0
Model2_Finetuned_Gemma2B,TAX-INTL-058,0,0,0,0
Model2_Finetuned_Gemma2B,TAX-INTL-059,0,0,0,0
Model2_Finetuned_Gemma2B,TAX-INTL-060,0,0,0,0
Model2_Finetuned_Gemma2B,TAX-INTL-061,3,3,0,0
Model2_Finetuned_Gemma2B,TAX-INTL-062,0,0,0,0
Model2_Finetuned_Gemma2B,TAX-INTL-063,0,0,0,0
Model2_Finetuned_Gemma2B,TAX-INTL-064,1,1,0,0
Model2_Finetuned_Gemma2B,TAX-INTL-065,3,3,0,0
Model2_Finetuned_Gemma2B,TAX-INTL-066,0,0,0,0
Model2_Finetuned_Gemma2B,TAX-INTL-067,2,2,0,0
Model2_Finetuned_Gemma2B,TAX-INTL-068,2,2,0,0
Model2_Finetuned_Gemma2B,TAX-INTL-069,0,0,0,0
Model2_Finetuned_Gemma2B,TAX-INTL-070,0,0,0,0
Model2_Finetuned_Gemma2B,TAX-INTL-071,1,1,0,0
Model2_Finetuned_Gemma2B,TAX-INTL-072,2,2,0,0
Model2_Finetuned_Gemma2B,TAX-INTL-073,6,6,0,0
Model2_Finetuned_Gemma2B,TAX-INTL-074,0,0,0,0
Model2_Finetuned_Gemma2B,TAX-INTL-075,0,0,0,0
Model2_Finetuned_Gemma2B,TAX-INTL-076,0,0,0,0
Model2_Finetuned_Gemma2B,TAX-INTL-077,0,0,0,0
Model2_Finetuned_Gemma2B,TAX-INTL-078,0,0,0,0
Model2_Finetuned_Gemma2B,TAX-INTL-079,0,0,0,0
Model2_Finetuned_Gemma2B,TAX-INTL-080,1,1,0,0
Model2_Finetuned_Gemma2B,ESTG-NEW-001,0,0,0,0
Model2_Finetuned_Gemma2B,ESTG-NEW-002,1,1,0,0
Model2_Finetuned_Gemma2B,ESTG-NEW-003,0,0,0,0
Model2_Finetuned_Gemma2B,ESTG-NEW-004,0,0,0,0
Model2_Finetuned_Gemma2B,ESTG-NEW-005,0,0,0,0
Model2_Finetuned_Gemma2B,ESTG-NEW-006,1,1,0,0
Model2_Finetuned_Gemma2B,ESTG-NEW-007,2,2,0,0
Model2_Finetuned_Gemma2B,ESTG-NEW-008,3,3,0,0
Model2_Finetuned_Gemma2B,ESTG-NEW-009,1,0,1,0
Model2_Finetuned_Gemma2B,ESTG-NEW-010,0,0,0,0
Model2_Finetuned_Gemma2B,ESTG-NEW-011,2,2,0,0
Model2_Finetuned_Gemma2B,ESTG-NEW-012,2,2,0,0
Model2_Finetuned_Gemma2B,ESTG-NEW-013,0,0,0,0
Model2_Finetuned_Gemma2B,ESTG-NEW-014,2,2,0,0
Model2_Finetuned_Gemma2B,ESTG-NEW-015,1,1,0,0
Model2_Finetuned_Gemma2B,ESTG-NEW-016,0,0,0,0
Model2_Finetuned_Gemma2B,ESTG-NEW-017,1,1,0,0
Model2_Finetuned_Gemma2B,ESTG-NEW-018,3,3,0,0
Model2_Finetuned_Gemma2B,ESTG-NEW-019,0,0,0,0
Model2_Finetuned_Gemma2B,ESTG-NEW-020,0,0,0,0
Model2_Finetuned_Gemma2B,VAT-DOM-001,1,1,0,0
Model2_Finetuned_Gemma2B,VAT-DOM-002,0,0,0,0
Model2_Finetuned_Gemma2B,VAT-DOM-003,0,0,0,0
Model2_Finetuned_Gemma2B,VAT-DOM-004,0,0,0,0
Model2_Finetuned_Gemma2B,VAT-DOM-005,0,0,0,0
Model2_Finetuned_Gemma2B,VAT-DOM-006,0,0,0,0
Model2_Finetuned_Gemma2B,VAT-DOM-007,0,0,0,0
Model2_Finetuned_Gemma2B,VAT-DOM-008,2,2,0,0
Model2_Finetuned_Gemma2B,VAT-DOM-009,0,0,0,0
Model2_Finetuned_Gemma2B,VAT-DOM-010,0,0,0,0
Model2_Finetuned_Gemma2B,VAT-DOM-011,0,0,0,0
Model2_Finetuned_Gemma2B,VAT-DOM-012,2,2,0,0
Model2_Finetuned_Gemma2B,VAT-DOM-013,2,2,0,0
Model2_Finetuned_Gemma2B,VAT-DOM-014,0,0,0,0
Model2_Finetuned_Gemma2B,VAT-DOM-015,2,2,0,0
Model2_Finetuned_Gemma2B,VAT-DOM-016,0,0,0,0
Model2_Finetuned_Gemma2B,VAT-DOM-017,4,4,0,0
Model2_Finetuned_Gemma2B,VAT-DOM-018,0,0,0,0
Model2_Finetuned_Gemma2B,VAT-DOM-019,1,1,0,0
Model2_Finetuned_Gemma2B,VAT-DOM-020,0,0,0,0
Model2_Finetuned_Gemma2B,VAT-DOM-021,3,3,0,0
Model2_Finetuned_Gemma2B,VAT-DOM-022,0,0,0,0
Model2_Finetuned_Gemma2B,VAT-DOM-023,4,4,0,0
Model2_Finetuned_Gemma2B,VAT-DOM-024,1,0,1,0
Model2_Finetuned_Gemma2B,VAT-DOM-025,2,2,0,0
Model2_Finetuned_Gemma2B,VAT-DOM-026,3,3,0,0
Model2_Finetuned_Gemma2B,VAT-DOM-027,3,3,0,0
Model2_Finetuned_Gemma2B,VAT-DOM-028,0,0,0,0
Model2_Finetuned_Gemma2B,VAT-DOM-029,0,0,0,0
Model2_Finetuned_Gemma2B,VAT-DOM-030,2,2,0,0
Model2_Finetuned_Gemma2B,VAT-DOM-031,2,2,0,0
Model2_Finetuned_Gemma2B,VAT-DOM-032,2,2,0,0
Model2_Finetuned_Gemma2B,VAT-DOM-033,1,1,0,0
Model2_Finetuned_Gemma2B,VAT-DOM-034,2,2,0,0
Model2_Finetuned_Gemma2B,VAT-DOM-035,2,2,0,0
Model2_Finetuned_Gemma2B,VAT-DOM-036,2,2,0,0
Model2_Finetuned_Gemma2B,VAT-DOM-037,4,4,0,0
Model2_Finetuned_Gemma2B,VAT-DOM-038,5,5,0,0
Model2_Finetuned_Gemma2B,VAT-DOM-039,2,2,0,0
Model2_Finetuned_Gemma2B,VAT-DOM-040,3,3,0,0
Model2_Finetuned_Gemma2B,VAT-DOM-041,4,4,0,0
Model2_Finetuned_Gemma2B,VAT-DOM-042,2,2,0,0
Model2_Finetuned_Gemma2B,VAT-DOM-043,3,3,0,0
Model2_Finetuned_Gemma2B,VAT-DOM-044,1,1,0,0
Model2_Finetuned_Gemma2B,VAT-DOM-045,0,0,0,0
Model2_Finetuned_Gemma2B,VAT-DOM-046,1,0,1,0
Model2_Finetuned_Gemma2B,VAT-DOM-047,5,5,0,0
Model2_Finetuned_Gemma2B,VAT-DOM-048,0,0,0,0
Model2_Finetuned_Gemma2B,VAT-DOM-049,1,1,0,0
Model2_Finetuned_Gemma2B,VAT-DOM-050,0,0,0,0
Model2_Finetuned_Gemma2B,VAT-DOM-051,0,0,0,0
Model2_Finetuned_Gemma2B,VAT-DOM-052,3,3,0,0
Model2_Finetuned_Gemma2B,VAT-DOM-053,5,5,0,0
Model2_Finetuned_Gemma2B,VAT-DOM-054,2,2,0,0
Model2_Finetuned_Gemma2B,VAT-DOM-055,3,3,0,0
Model2_Finetuned_Gemma2B,VAT-DOM-056,4,3,1,0
Model2_Finetuned_Gemma2B,VAT-DOM-057,0,0,0,0
Model2_Finetuned_Gemma2B,VAT-DOM-058,3,3,0,0
Model2_Finetuned_Gemma2B,VAT-DOM-059,0,0,0,0
Model2_Finetuned_Gemma2B,VAT-DOM-060,3,3,0,0
Model2_Finetuned_Gemma2B,VAT-DOM-061,0,0,0,0
Model2_Finetuned_Gemma2B,VAT-DOM-062,1,0,1,0
Model2_Finetuned_Gemma2B,VAT-DOM-063,0,0,0,0
Model2_Finetuned_Gemma2B,VAT-DOM-064,3,2,1,0
Model2_Finetuned_Gemma2B,VAT-DOM-065,0,0,0,0
Model2_Finetuned_Gemma2B,VAT-DOM-066,0,0,0,0
Model2_Finetuned_Gemma2B,VAT-DOM-067,5,5,0,0
Model2_Finetuned_Gemma2B,VAT-DOM-068,1,0,1,0
Model2_Finetuned_Gemma2B,VAT-DOM-069,4,4,0,0
Model2_Finetuned_Gemma2B,VAT-DOM-070,4,3,1,0
Model2_Finetuned_Gemma2B,VAT-DOM-071,4,4,0,0
Model2_Finetuned_Gemma2B,VAT-DOM-072,0,0,0,0
Model2_Finetuned_Gemma2B,VAT-DOM-073,1,0,1,0
Model2_Finetuned_Gemma2B,VAT-DOM-074,1,1,0,0
Model2_Finetuned_Gemma2B,VAT-DOM-075,4,0,4,0
Model2_Finetuned_Gemma2B,VAT-DOM-076,0,0,0,0
Model2_Finetuned_Gemma2B,VAT-DOM-077,3,3,0,0
Model2_Finetuned_Gemma2B,VAT-DOM-078,0,0,0,0
Model2_Finetuned_Gemma2B,VAT-DOM-079,0,0,0,0
Model2_Finetuned_Gemma2B,VAT-DOM-080,1,1,0,0
Model2_Finetuned_Gemma2B,GRESt-AT-001,3,0,3,0
Model2_Finetuned_Gemma2B,GRESt-AT-002,0,0,0,0
Model2_Finetuned_Gemma2B,GRESt-AT-003,0,0,0,0
Model2_Finetuned_Gemma2B,GRESt-AT-004,1,0,1,0
Model2_Finetuned_Gemma2B,GRESt-AT-005,0,0,0,0
Model2_Finetuned_Gemma2B,GRESt-AT-006,1,0,1,0
Model2_Finetuned_Gemma2B,GRESt-AT-007,0,0,0,0
Model2_Finetuned_Gemma2B,GRESt-AT-008,1,0,1,0
Model2_Finetuned_Gemma2B,GRESt-AT-009,3,1,2,0
Model2_Finetuned_Gemma2B,GRESt-AT-010,1,0,1,0
Model2_Finetuned_Gemma2B,GRESt-AT-011,0,0,0,0
Model2_Finetuned_Gemma2B,GRESt-AT-012,0,0,0,0
Model2_Finetuned_Gemma2B,GRESt-AT-013,0,0,0,0
Model2_Finetuned_Gemma2B,GRESt-AT-014,0,0,0,0
Model2_Finetuned_Gemma2B,GRESt-AT-015,3,1,2,0
Model2_Finetuned_Gemma2B,GRESt-AT-016,2,1,1,0
Model2_Finetuned_Gemma2B,GRESt-AT-017,0,0,0,0
Model2_Finetuned_Gemma2B,GRESt-AT-018,0,0,0,0
Model2_Finetuned_Gemma2B,GRESt-AT-019,0,0,0,0
Model2_Finetuned_Gemma2B,GRESt-AT-020,1,1,0,0
Model2_Finetuned_Gemma2B,GRESt-AT-021,0,0,0,0
Model2_Finetuned_Gemma2B,GRESt-AT-022,0,0,0,0
Model2_Finetuned_Gemma2B,GRESt-AT-023,2,2,0,0
Model2_Finetuned_Gemma2B,GRESt-AT-024,2,2,0,0
Model2_Finetuned_Gemma2B,GRESt-AT-025,2,1,1,0
Model2_Finetuned_Gemma2B,GRESt-AT-026,1,1,0,0
